00:42:38.974700 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 2, length 64
00:42:39.670655 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 3, length 64
00:42:39.975084 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 3, length 64
00:42:40.672025 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 4, length 64
00:42:40.976568 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 4, length 64
00:42:41.673490 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 5, length 64
00:42:41.983996 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 5, length 64
00:42:42.674899 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 6, length 64
00:42:42.981720 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 6, length 64
00:42:43.676627 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 7, length 64
00:42:43.981276 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 7, length 64
00:42:44.678182 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 8, length 64
00:42:44.982645 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 8, length 64
00:42:45.679559 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 9, length 64
00:42:45.985352 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 9, length 64
00:42:46.681254 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 10, length 64
00:42:46.986055 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 10, length 64
00:42:47.682964 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 11, length 64
00:42:48.005507 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 11, length 64
00:42:48.683397 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 12, length 64
00:42:48.988133 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 12, length 64
00:42:49.685038 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 13, length 64
00:42:49.990251 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 13, length 64
00:42:50.686166 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 14, length 64
00:42:50.990729 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 14, length 64
00:42:51.687637 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 15, length 64
00:42:51.992189 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 15, length 64
00:42:52.689091 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 16, length 64
00:42:52.993337 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 16, length 64
00:42:53.690237 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 17, length 64
00:42:53.995251 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 17, length 64
00:42:54.691127 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 18, length 64
00:42:55.003085 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 18, length 64
00:42:55.690972 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 19, length 64
00:42:56.003425 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 19, length 64
00:42:56.691320 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 20, length 64
00:42:56.995934 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 20, length 64
00:42:57.692835 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 21, length 64
00:42:57.997520 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 21, length 64
00:42:58.694432 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 22, length 64
00:42:59.002309 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 22, length 64
00:42:59.694216 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 23, length 64
00:43:00.013273 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 23, length 64
00:43:00.694174 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 24, length 64
00:43:01.002213 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 24, length 64
00:43:01.694121 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 25, length 64
00:43:02.002171 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 25, length 64
00:43:02.694076 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 26, length 64
00:43:03.002294 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 26, length 64
00:43:03.694197 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 27, length 64
00:43:04.001665 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 27, length 64
00:43:04.694572 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 28, length 64
00:43:05.001824 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 28, length 64
00:43:05.694737 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 29, length 64
00:43:06.002092 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 29, length 64
00:43:06.695012 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 30, length 64
00:43:07.001774 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 30, length 64
00:43:07.695694 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 31, length 64
00:43:08.002311 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 31, length 64
00:43:08.696217 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 32, length 64
00:43:09.002312 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 32, length 64
00:43:09.696225 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 33, length 64
00:43:10.004300 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 33, length 64
00:43:10.696184 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 34, length 64
00:43:11.002400 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 34, length 64
00:43:11.696291 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 35, length 64
00:43:12.002188 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 35, length 64
00:43:12.696080 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 36, length 64
00:43:13.001882 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 36, length 64
00:43:13.696787 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 37, length 64
00:43:14.006889 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 37, length 64
00:43:14.696798 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 38, length 64
00:43:15.002219 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 38, length 64
00:43:15.697115 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 39, length 64
00:43:16.002410 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 39, length 64
00:43:16.697308 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 40, length 64
00:43:17.002253 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 40, length 64
00:43:17.697163 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 41, length 64
00:43:18.001889 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 41, length 64
00:43:18.697800 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 42, length 64
00:43:19.002482 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 42, length 64
00:43:19.698358 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 43, length 64
00:43:20.006807 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 43, length 64
00:43:20.698723 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 44, length 64
00:43:21.003427 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 44, length 64
00:43:21.699343 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 45, length 64
00:43:22.006739 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 45, length 64
00:43:22.699635 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 46, length 64
00:43:23.004163 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 46, length 64
00:43:23.700057 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 47, length 64
00:43:24.005282 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 47, length 64
00:43:24.700173 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 48, length 64
00:43:25.011298 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 48, length 64
00:43:25.700188 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 49, length 64
00:43:26.005037 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 49, length 64
00:43:26.699928 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 50, length 64
00:43:27.004819 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 50, length 64
00:43:27.699714 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 51, length 64
00:43:28.006999 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 51, length 64
00:43:28.699913 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 52, length 64
00:43:29.004516 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 52, length 64
00:43:29.700427 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 53, length 64
00:43:30.008471 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 53, length 64
00:43:30.700370 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 54, length 64
00:43:31.004910 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 54, length 64
00:43:31.700817 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 55, length 64
00:43:32.007642 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 55, length 64
00:43:32.701570 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 56, length 64
00:43:33.010208 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 56, length 64
00:43:33.702133 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 57, length 64
00:43:34.006947 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 57, length 64
00:43:34.702841 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 58, length 64
00:43:35.017541 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 58, length 64
00:43:35.703438 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 59, length 64
00:43:36.011680 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 59, length 64
00:43:36.703577 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 60, length 64
00:43:37.008211 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 60, length 64
00:43:37.704130 IP 10.8.0.6 > 85.10.51.63: ICMP echo request, id 2316, seq 61, length 64
00:43:38.009639 IP 85.10.51.63 > 10.8.0.6: ICMP echo reply, id 2316, seq 61, length 64
