00:46:47.355471 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 2, length 64
00:46:47.641331 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 2, length 64
00:46:48.356299 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 3, length 64
00:46:48.641921 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 3, length 64
00:46:49.357897 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 4, length 64
00:46:49.643487 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 4, length 64
00:46:50.359428 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 5, length 64
00:46:50.645232 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 5, length 64
00:46:51.361185 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 6, length 64
00:46:51.646822 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 6, length 64
00:46:52.362771 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 7, length 64
00:46:52.648438 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 7, length 64
00:46:53.364386 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 8, length 64
00:46:53.649949 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 8, length 64
00:46:54.365897 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 9, length 64
00:46:54.651599 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 9, length 64
00:46:55.367549 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 10, length 64
00:46:55.652976 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 10, length 64
00:46:56.368927 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 11, length 64
00:46:56.654531 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 11, length 64
00:46:57.370481 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 12, length 64
00:46:57.656300 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 12, length 64
00:46:58.372249 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 13, length 64
00:46:58.658086 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 13, length 64
00:46:59.373034 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 14, length 64
00:46:59.658672 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 14, length 64
00:47:00.374620 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 15, length 64
00:47:00.660030 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 15, length 64
00:47:01.375977 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 16, length 64
00:47:01.661831 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 16, length 64
00:47:02.376777 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 17, length 64
00:47:02.662361 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 17, length 64
00:47:03.378311 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 18, length 64
00:47:03.663562 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 18, length 64
00:47:04.379510 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 19, length 64
00:47:04.665150 IP 195.158.249.7 > 10.8.0.6: ICMP echo reply, id 2333, seq 19, length 64
00:47:05.381102 IP 10.8.0.6 > 195.158.249.7: ICMP echo request, id 2333, seq 20, length 64
