00:56:08.606748 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 2, length 64
00:56:08.924672 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 2, length 64
00:56:09.607604 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 3, length 64
00:56:09.925775 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 3, length 64
00:56:10.608716 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 4, length 64
00:56:10.926518 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 4, length 64
00:56:11.609450 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 5, length 64
00:56:11.927477 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 5, length 64
00:56:12.610390 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 6, length 64
00:56:12.928565 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 6, length 64
00:56:13.611478 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 7, length 64
00:56:13.929120 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 7, length 64
00:56:14.613042 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 8, length 64
00:56:14.930671 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 8, length 64
00:56:15.614588 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 9, length 64
00:56:15.932514 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 9, length 64
00:56:16.615440 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 10, length 64
00:56:16.933698 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 10, length 64
00:56:17.616612 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 11, length 64
00:56:17.934909 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 11, length 64
00:56:18.617810 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 12, length 64
00:56:18.935651 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 12, length 64
00:56:19.618559 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 13, length 64
00:56:19.936697 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 13, length 64
00:56:20.619612 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 14, length 64
00:56:20.937492 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 14, length 64
00:56:21.620411 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 15, length 64
00:56:21.938130 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 15, length 64
00:56:22.622044 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 16, length 64
00:56:22.940139 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 16, length 64
00:56:23.623050 IP 10.8.0.6 > 107.150.94.35: ICMP echo request, id 2369, seq 17, length 64
00:56:23.940902 IP 107.150.94.35 > 10.8.0.6: ICMP echo reply, id 2369, seq 17, length 64
