00:42:39.425373 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 2, length 64
00:42:39.956913 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 2, length 64
00:42:40.426613 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 3, length 64
00:42:40.958083 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 3, length 64
00:42:41.427791 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 4, length 64
00:42:41.965042 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 4, length 64
00:42:42.428735 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 5, length 64
00:42:42.960004 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 5, length 64
00:42:43.429698 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 6, length 64
00:42:43.961283 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 6, length 64
00:42:44.430982 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 7, length 64
00:42:44.962640 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 7, length 64
00:42:45.432343 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 8, length 64
00:42:45.963666 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 8, length 64
00:42:46.433352 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 9, length 64
00:42:46.964778 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 9, length 64
00:42:47.434467 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 10, length 64
00:42:47.966930 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 10, length 64
00:42:48.435612 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 11, length 64
00:42:48.967280 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 11, length 64
00:42:49.436962 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 12, length 64
00:42:49.969216 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 12, length 64
00:42:50.437904 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 13, length 64
00:42:50.969366 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 13, length 64
00:42:51.439056 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 14, length 64
00:42:51.970550 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 14, length 64
00:42:52.440245 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 15, length 64
00:42:52.972002 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 15, length 64
00:42:53.441686 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 16, length 64
00:42:53.973542 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 16, length 64
00:42:54.442225 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 17, length 64
00:42:54.973877 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 17, length 64
00:42:55.443565 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 18, length 64
00:42:55.974996 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 18, length 64
00:42:56.444689 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 19, length 64
00:42:56.976506 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 19, length 64
00:42:57.446195 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 20, length 64
00:42:57.977517 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 20, length 64
00:42:58.447205 IP 10.8.0.6 > 103.4.30.123: ICMP echo request, id 2317, seq 21, length 64
00:42:58.982033 IP 103.4.30.123 > 10.8.0.6: ICMP echo reply, id 2317, seq 21, length 64
