21:51:10.642113 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 1, length 64
21:51:11.070260 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 1, length 64
21:51:11.641092 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 2, length 64
21:51:12.066454 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 2, length 64
21:51:12.641285 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 3, length 64
21:51:13.066581 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 3, length 64
21:51:13.641368 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 4, length 64
21:51:14.066752 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 4, length 64
21:51:14.641563 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 5, length 64
21:51:15.066929 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 5, length 64
21:51:15.641724 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 6, length 64
21:51:16.067576 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 6, length 64
21:51:16.641377 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 7, length 64
21:51:17.066507 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 7, length 64
21:51:17.641296 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 8, length 64
21:51:18.066506 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 8, length 64
21:51:18.641279 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 9, length 64
21:51:19.066482 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 9, length 64
21:51:19.641276 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 10, length 64
21:51:20.066465 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 10, length 64
21:51:20.641255 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 11, length 64
21:51:21.066666 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 11, length 64
21:51:21.641457 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 12, length 64
21:51:22.066645 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 12, length 64
21:51:22.641447 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 13, length 64
21:51:23.067049 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 13, length 64
21:51:23.641845 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 14, length 64
21:51:24.067007 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 14, length 64
21:51:24.641803 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 15, length 64
21:51:25.067001 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 15, length 64
21:51:25.641799 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 16, length 64
21:51:26.067361 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 16, length 64
21:51:26.642165 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 17, length 64
21:51:27.079178 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 17, length 64
21:51:27.641969 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 18, length 64
21:51:28.067143 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 18, length 64
21:51:28.641923 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 19, length 64
21:51:29.067098 IP 172.83.40.219 > 10.8.1.2: ICMP echo reply, id 41, seq 19, length 64
21:51:29.641886 IP 10.8.1.2 > 172.83.40.219: ICMP echo request, id 41, seq 20, length 64
