08:46:30.673094 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 2, length 64
08:46:31.031380 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 2, length 64
08:46:31.673263 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 3, length 64
08:46:32.031606 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 3, length 64
08:46:32.673516 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 4, length 64
08:46:33.031699 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 4, length 64
08:46:33.673532 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 5, length 64
08:46:34.031920 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 5, length 64
08:46:34.673787 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 6, length 64
08:46:35.031851 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 6, length 64
08:46:35.673720 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 7, length 64
08:46:36.032114 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 7, length 64
08:46:36.673980 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 8, length 64
08:46:37.032208 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 8, length 64
08:46:37.674085 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 9, length 64
08:46:38.032438 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 9, length 64
08:46:38.674315 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 10, length 64
08:46:39.032520 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 10, length 64
08:46:39.674366 IP 10.8.1.3 > 148.72.164.38: ICMP echo request, id 980, seq 11, length 64
08:46:40.032507 IP 148.72.164.38 > 10.8.1.3: ICMP echo reply, id 980, seq 11, length 64
