09:11:37.540368 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 2, length 64
09:11:37.818985 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 2, length 64
09:11:38.541958 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 3, length 64
09:11:38.820945 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 3, length 64
09:11:39.542952 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 4, length 64
09:11:39.821732 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 4, length 64
09:11:40.544705 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 5, length 64
09:11:40.823449 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 5, length 64
09:11:41.546425 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 6, length 64
09:11:41.825155 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 6, length 64
09:11:42.548131 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 7, length 64
09:11:42.827017 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 7, length 64
09:11:43.548988 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 8, length 64
09:11:43.828054 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 8, length 64
09:11:44.550030 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 9, length 64
09:11:44.828877 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 9, length 64
09:11:45.550206 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 10, length 64
09:11:45.829027 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 10, length 64
09:11:46.551001 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 11, length 64
09:11:46.829867 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 11, length 64
09:11:47.551835 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 12, length 64
09:11:47.830725 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 12, length 64
09:11:48.552698 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 13, length 64
09:11:48.831717 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 13, length 64
09:11:49.553694 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 14, length 64
09:11:49.832526 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 14, length 64
09:11:50.554164 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 15, length 64
09:11:50.833120 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 15, length 64
09:11:51.555095 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 16, length 64
09:11:51.833947 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 16, length 64
09:11:52.555937 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 17, length 64
09:11:52.834591 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 17, length 64
09:11:53.557562 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 18, length 64
09:11:53.836406 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 18, length 64
09:11:54.558378 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 19, length 64
09:11:54.837007 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 19, length 64
09:11:55.559981 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 20, length 64
09:11:55.838648 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 20, length 64
09:11:56.561622 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 21, length 64
09:11:56.842578 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 21, length 64
09:11:57.562546 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 22, length 64
09:11:57.841299 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 22, length 64
09:11:58.564254 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 23, length 64
09:11:58.843083 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 23, length 64
09:11:59.565046 IP 10.8.1.3 > 185.216.34.100: ICMP echo request, id 1072, seq 24, length 64
09:11:59.843683 IP 185.216.34.100 > 10.8.1.3: ICMP echo reply, id 1072, seq 24, length 64
