09:25:07.058250 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 4, length 64
09:25:07.516989 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 4, length 64
09:25:08.059778 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 5, length 64
09:25:08.518787 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 5, length 64
09:25:09.060572 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 6, length 64
09:25:09.519208 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 6, length 64
09:25:10.061999 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 7, length 64
09:25:10.521194 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 7, length 64
09:25:11.062981 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 8, length 64
09:25:11.522023 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 8, length 64
09:25:12.063811 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 9, length 64
09:25:12.523995 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 9, length 64
09:25:13.064779 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 10, length 64
09:25:13.523620 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 10, length 64
09:25:14.065403 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 11, length 64
09:25:14.523996 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 11, length 64
09:25:15.066772 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 12, length 64
09:25:15.525345 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 12, length 64
09:25:16.068131 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 13, length 64
09:25:16.526811 IP 103.107.196.131 > 10.8.1.3: ICMP echo reply, id 1123, seq 13, length 64
09:25:17.069596 IP 10.8.1.3 > 103.107.196.131: ICMP echo request, id 1123, seq 14, length 64
