09:30:16.746418 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 1, length 64
09:30:17.644766 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 2, length 64
09:30:18.053961 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 2, length 64
09:30:18.644865 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 3, length 64
09:30:19.054082 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 3, length 64
09:30:19.644957 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 4, length 64
09:30:20.054174 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 4, length 64
09:30:20.645012 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 5, length 64
09:30:21.056699 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 5, length 64
09:30:21.645530 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 6, length 64
09:30:22.066276 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 6, length 64
09:30:22.646093 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 7, length 64
09:30:23.055350 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 7, length 64
09:30:23.646204 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 8, length 64
09:30:24.055455 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 8, length 64
09:30:24.646213 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 9, length 64
09:30:25.061345 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 9, length 64
09:30:25.646190 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 10, length 64
09:30:26.055590 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 10, length 64
09:30:26.646177 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 11, length 64
09:30:27.055413 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 11, length 64
09:30:27.646171 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 12, length 64
09:30:28.055589 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 12, length 64
09:30:28.646434 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 13, length 64
09:30:29.055790 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 13, length 64
09:30:29.646634 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 14, length 64
09:30:30.055976 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 14, length 64
09:30:30.646821 IP 10.8.1.3 > 179.48.249.195: ICMP echo request, id 1145, seq 15, length 64
09:30:31.055986 IP 179.48.249.195 > 10.8.1.3: ICMP echo reply, id 1145, seq 15, length 64
