09:10:35.587766 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 1, length 64
09:10:35.895227 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 1, length 64
09:10:36.804222 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 2, length 64
09:10:37.111836 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 2, length 64
09:10:37.804758 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 3, length 64
09:10:38.111852 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 3, length 64
09:10:38.804772 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 4, length 64
09:10:39.112088 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 4, length 64
09:10:39.804998 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 5, length 64
09:10:40.112166 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 5, length 64
09:10:40.805078 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 6, length 64
09:10:41.112327 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 6, length 64
09:10:41.805241 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 7, length 64
09:10:42.112349 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 7, length 64
09:10:42.805262 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 8, length 64
09:10:43.112539 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 8, length 64
09:10:43.805460 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 9, length 64
09:10:44.113369 IP 185.189.114.28 > 10.8.1.3: ICMP echo reply, id 1070, seq 9, length 64
09:10:44.805305 IP 10.8.1.3 > 185.189.114.28: ICMP echo request, id 1070, seq 10, length 64
