14:47:44.770427 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 1, length 64
14:47:45.015084 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 1, length 64
14:47:46.148536 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 2, length 64
14:47:46.389632 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 2, length 64
14:47:47.149637 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 3, length 64
14:47:47.390638 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 3, length 64
14:47:48.150631 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 4, length 64
14:47:48.391852 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 4, length 64
14:47:49.151814 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 5, length 64
14:47:49.392691 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 5, length 64
14:47:50.152685 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 6, length 64
14:47:50.393869 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 6, length 64
14:47:51.153851 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 7, length 64
14:47:51.394789 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 7, length 64
14:47:52.154774 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 8, length 64
14:47:52.396099 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 8, length 64
14:47:53.156086 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 9, length 64
14:47:53.396529 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 9, length 64
14:47:54.157531 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 10, length 64
14:47:54.398748 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 10, length 64
14:47:55.158740 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 11, length 64
14:47:56.187249 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 12, length 64
14:47:56.428019 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 12, length 64
14:47:57.189005 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 13, length 64
14:47:57.429858 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 13, length 64
14:47:58.189852 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 14, length 64
14:47:58.430865 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 14, length 64
14:47:59.190850 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 15, length 64
14:47:59.431626 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 15, length 64
14:48:00.192613 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 16, length 64
14:48:00.433281 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 16, length 64
14:48:01.194270 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 17, length 64
14:48:01.435132 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 17, length 64
14:48:02.195133 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 18, length 64
14:48:02.435783 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 18, length 64
14:48:03.196769 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 19, length 64
14:48:03.437770 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 19, length 64
14:48:04.197765 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 20, length 64
14:48:04.439416 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 20, length 64
14:48:05.199242 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 21, length 64
14:48:05.440032 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 21, length 64
14:48:06.201018 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 22, length 64
14:48:06.442437 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 22, length 64
14:48:07.202436 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 23, length 64
14:48:07.443108 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 23, length 64
14:48:08.204089 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 86, seq 24, length 64
14:48:08.445078 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 86, seq 24, length 64
