20:28:07.699535 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 2, length 64
20:28:08.243130 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 2, length 64
20:28:08.699838 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 3, length 64
20:28:09.253092 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 3, length 64
20:28:09.699753 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 4, length 64
20:28:10.243305 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 4, length 64
20:28:10.700003 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 5, length 64
20:28:11.707247 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 6, length 64
20:28:12.731258 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 7, length 64
20:28:13.277991 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 7, length 64
20:28:13.731690 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 8, length 64
20:28:14.281688 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 8, length 64
20:28:14.731238 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 9, length 64
20:28:15.278698 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 9, length 64
20:28:15.731386 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 10, length 64
20:28:16.274543 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 10, length 64
20:28:16.731243 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 11, length 64
20:28:17.331194 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 11, length 64
20:28:17.730842 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 12, length 64
20:28:18.280226 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 12, length 64
20:28:18.730916 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 13, length 64
20:28:19.739248 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 14, length 64
20:28:20.339893 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 14, length 64
20:28:20.739244 IP 10.8.2.2 > 131.255.4.122: ICMP echo request, id 1357, seq 15, length 64
20:28:21.335313 IP 131.255.4.122 > 10.8.2.2: ICMP echo reply, id 1357, seq 15, length 64
