20:31:15.240522 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 2, length 64
20:31:15.660689 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 2, length 64
20:31:16.241406 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 3, length 64
20:31:16.641540 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 3, length 64
20:31:17.242393 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 4, length 64
20:31:17.618894 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 4, length 64
20:31:18.243755 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 5, length 64
20:31:18.612814 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 5, length 64
20:31:19.244672 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 6, length 64
20:31:19.639713 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 6, length 64
20:31:20.245563 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 7, length 64
20:31:20.607225 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 7, length 64
20:31:21.247097 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 8, length 64
20:31:21.607255 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 8, length 64
20:31:22.248131 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 9, length 64
20:31:22.661948 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 9, length 64
20:31:23.249772 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 10, length 64
20:31:23.637536 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 10, length 64
20:31:24.251375 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 11, length 64
20:31:24.652582 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 11, length 64
20:31:25.252431 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 12, length 64
20:31:25.656178 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 12, length 64
20:31:26.254021 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 13, length 64
20:31:26.647403 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 13, length 64
20:31:27.255245 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 14, length 64
20:31:28.283257 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 15, length 64
20:31:28.706886 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 15, length 64
20:31:29.284696 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 16, length 64
20:31:29.699130 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 16, length 64
20:31:30.285967 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 17, length 64
20:31:30.699550 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 17, length 64
20:31:31.287378 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 18, length 64
20:31:31.696756 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 18, length 64
20:31:32.288588 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 19, length 64
20:31:32.648800 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 19, length 64
20:31:33.289680 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 20, length 64
20:31:33.697216 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 20, length 64
20:31:34.291044 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 21, length 64
20:31:34.697461 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 21, length 64
20:31:35.292290 IP 10.8.2.2 > 91.239.206.147: ICMP echo request, id 1370, seq 22, length 64
20:31:35.651873 IP 91.239.206.147 > 10.8.2.2: ICMP echo reply, id 1370, seq 22, length 64
