20:34:27.964253 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 2, length 64
20:34:28.393926 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 3, length 64
20:34:28.968847 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 3, length 64
20:34:29.394533 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 4, length 64
20:34:30.003687 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 4, length 64
20:34:30.394327 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 5, length 64
20:34:30.965655 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 5, length 64
20:34:31.395339 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 6, length 64
20:34:31.971201 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 6, length 64
20:34:32.395856 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 7, length 64
20:34:32.972892 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 7, length 64
20:34:33.396554 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 8, length 64
20:34:33.992000 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 8, length 64
20:34:34.397642 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 9, length 64
20:34:34.994243 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 9, length 64
20:34:35.398885 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 10, length 64
20:34:35.988499 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 10, length 64
20:34:36.400158 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 11, length 64
20:34:36.972058 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 11, length 64
20:34:37.400730 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 12, length 64
20:34:37.997102 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 12, length 64
20:34:38.401740 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 13, length 64
20:34:38.971885 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 13, length 64
20:34:39.402547 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 14, length 64
20:34:39.969403 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 14, length 64
20:34:40.403068 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 15, length 64
20:34:40.975442 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 15, length 64
20:34:41.404069 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 16, length 64
20:34:41.976618 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 16, length 64
20:34:42.405282 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 17, length 64
20:34:42.997460 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 17, length 64
20:34:43.406102 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 18, length 64
20:34:43.973062 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 18, length 64
20:34:44.406729 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 19, length 64
20:34:45.022895 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 19, length 64
20:34:45.406512 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 20, length 64
20:34:45.999769 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 20, length 64
20:34:46.407245 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 21, length 64
20:34:46.993607 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 21, length 64
20:34:47.408258 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 22, length 64
20:34:47.991038 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 22, length 64
20:34:48.409719 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 23, length 64
20:34:48.994210 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 23, length 64
20:34:49.410874 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 24, length 64
20:34:49.983084 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 24, length 64
20:34:50.411749 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 25, length 64
20:34:51.033278 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 25, length 64
20:34:51.411893 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 26, length 64
20:34:52.009550 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 26, length 64
20:34:52.412193 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 27, length 64
20:34:53.022940 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 27, length 64
20:34:53.412562 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 28, length 64
20:34:54.431248 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 29, length 64
20:34:55.056588 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 29, length 64
20:34:55.431125 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 30, length 64
20:34:56.031576 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 30, length 64
20:34:56.431186 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 31, length 64
20:34:57.008672 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 31, length 64
20:34:57.431265 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 32, length 64
20:34:58.002875 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 32, length 64
20:34:58.431470 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 33, length 64
20:34:59.030110 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 33, length 64
20:34:59.431671 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 34, length 64
20:35:00.022124 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 34, length 64
20:35:00.431746 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 35, length 64
20:35:01.011030 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 35, length 64
20:35:01.431673 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 36, length 64
20:35:02.033607 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 36, length 64
20:35:02.431205 IP 10.8.2.2 > 45.249.222.251: ICMP echo request, id 1380, seq 37, length 64
20:35:03.033611 IP 45.249.222.251 > 10.8.2.2: ICMP echo reply, id 1380, seq 37, length 64
