20:35:30.690592 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 2, length 64
20:35:31.343176 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 3, length 64
20:35:31.696087 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 3, length 64
20:35:32.343964 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 4, length 64
20:35:32.708326 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 4, length 64
20:35:33.345213 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 5, length 64
20:35:34.363249 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 6, length 64
20:35:34.739932 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 6, length 64
20:35:35.364794 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 7, length 64
20:35:35.716772 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 7, length 64
20:35:36.365662 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 8, length 64
20:35:36.734621 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 8, length 64
20:35:37.366490 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 9, length 64
20:35:37.773850 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 9, length 64
20:35:38.367680 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 10, length 64
20:35:38.750208 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 10, length 64
20:35:39.369058 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 11, length 64
20:35:39.721492 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 11, length 64
20:35:40.370370 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 12, length 64
20:35:40.727467 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 12, length 64
20:35:41.371348 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 13, length 64
20:35:41.766762 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 13, length 64
20:35:42.372599 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 14, length 64
20:35:42.720354 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 14, length 64
20:35:43.374238 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 15, length 64
20:35:43.728817 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 15, length 64
20:35:44.375700 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 16, length 64
20:35:44.725802 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 16, length 64
20:35:45.376695 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 17, length 64
20:35:45.725742 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 17, length 64
20:35:46.377622 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 18, length 64
20:35:46.767857 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 18, length 64
20:35:47.378706 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 19, length 64
20:35:47.726699 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 19, length 64
20:35:48.379582 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 20, length 64
20:35:48.781547 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 20, length 64
20:35:49.380382 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 21, length 64
20:35:49.732137 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 21, length 64
20:35:50.382029 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 22, length 64
20:35:50.749783 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 22, length 64
20:35:51.383657 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 23, length 64
20:35:51.766484 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 23, length 64
20:35:52.385348 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 24, length 64
20:35:52.767048 IP 107.150.94.35 > 10.8.2.2: ICMP echo reply, id 1385, seq 24, length 64
20:35:53.386919 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 25, length 64
20:35:54.395265 IP 10.8.2.2 > 107.150.94.35: ICMP echo request, id 1385, seq 26, length 64
