20:51:05.045966 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 1, length 64
20:51:06.745036 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 2, length 64
20:51:07.142604 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 2, length 64
20:51:07.745432 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 3, length 64
20:51:08.140705 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 3, length 64
20:51:08.745532 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 4, length 64
20:51:09.140705 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 4, length 64
20:51:09.745539 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 5, length 64
20:51:10.140659 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 5, length 64
20:51:10.745461 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 6, length 64
20:51:11.140603 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 6, length 64
20:51:11.745400 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 7, length 64
20:51:12.140222 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 7, length 64
20:51:12.746022 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 8, length 64
20:51:13.141035 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 8, length 64
20:51:13.745851 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 9, length 64
20:51:14.140838 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 9, length 64
20:51:14.745635 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 10, length 64
20:51:15.140436 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 10, length 64
20:51:15.746237 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 11, length 64
20:51:16.141417 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 11, length 64
20:51:16.746226 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 12, length 64
20:51:17.141789 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 12, length 64
20:51:17.746590 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 13, length 64
20:51:18.141588 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 13, length 64
20:51:18.746388 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 14, length 64
20:51:19.141964 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 14, length 64
20:51:19.746767 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 15, length 64
20:51:20.141951 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 15, length 64
20:51:20.746749 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 16, length 64
20:51:21.141725 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 16, length 64
20:51:21.746526 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 17, length 64
20:51:22.141515 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 17, length 64
20:51:22.746313 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 18, length 64
20:51:23.141289 IP 31.171.152.19 > 10.8.2.8: ICMP echo reply, id 1444, seq 18, length 64
20:51:23.746090 IP 10.8.2.8 > 31.171.152.19: ICMP echo request, id 1444, seq 19, length 64
