20:51:05.646564 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 2, length 64
20:51:06.127355 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 2, length 64
20:51:06.647152 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 3, length 64
20:51:07.127715 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 3, length 64
20:51:07.647260 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 4, length 64
20:51:08.128299 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 4, length 64
20:51:08.647057 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 5, length 64
20:51:09.127728 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 5, length 64
20:51:09.647486 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 6, length 64
20:51:10.128267 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 6, length 64
20:51:10.647996 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 7, length 64
20:51:11.128914 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 7, length 64
20:51:11.647253 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 8, length 64
20:51:12.127853 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 8, length 64
20:51:12.647573 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 9, length 64
20:51:13.128073 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 9, length 64
20:51:13.647799 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 10, length 64
20:51:14.128587 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 10, length 64
20:51:14.648304 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 11, length 64
20:51:15.128983 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 11, length 64
20:51:15.648696 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 12, length 64
20:51:16.129208 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 12, length 64
20:51:16.648932 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 13, length 64
20:51:17.130060 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 13, length 64
20:51:17.648779 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 14, length 64
20:51:18.129533 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 14, length 64
20:51:18.649256 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 15, length 64
20:51:19.129973 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 15, length 64
20:51:19.649693 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 16, length 64
20:51:20.130493 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 16, length 64
20:51:20.650211 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 17, length 64
20:51:21.130903 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 17, length 64
20:51:21.650625 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 18, length 64
20:51:22.131457 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 18, length 64
20:51:22.651197 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 19, length 64
20:51:23.131763 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 19, length 64
20:51:23.651480 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 20, length 64
20:51:24.132284 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 20, length 64
20:51:24.652041 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 21, length 64
20:51:25.132705 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 21, length 64
20:51:25.652464 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 22, length 64
20:51:26.133220 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 22, length 64
20:51:26.652988 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 23, length 64
20:51:27.134012 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 23, length 64
20:51:27.652737 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 24, length 64
20:51:28.133233 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 24, length 64
20:51:28.652993 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 25, length 64
20:51:29.133582 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 25, length 64
20:51:29.653342 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 26, length 64
20:51:30.134034 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 26, length 64
20:51:30.653792 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 27, length 64
20:51:31.134581 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 27, length 64
20:51:31.654339 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 28, length 64
20:51:32.137707 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 28, length 64
20:51:32.654463 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 29, length 64
20:51:33.134907 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 29, length 64
20:51:33.654662 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 30, length 64
20:51:34.135737 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 30, length 64
20:51:34.654495 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 31, length 64
20:51:35.134934 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 31, length 64
20:51:35.654680 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 32, length 64
20:51:36.135329 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 32, length 64
20:51:36.655091 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 33, length 64
20:51:37.135927 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 33, length 64
20:51:37.654685 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 34, length 64
20:51:38.135314 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 34, length 64
20:51:38.655073 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 35, length 64
20:51:39.135832 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 35, length 64
20:51:39.655592 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 36, length 64
20:51:40.136557 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 36, length 64
20:51:40.655317 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 37, length 64
20:51:41.136023 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 37, length 64
20:51:41.655781 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 38, length 64
20:51:42.136464 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 38, length 64
20:51:42.656229 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 39, length 64
20:51:43.138789 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 39, length 64
20:51:43.656540 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 40, length 64
20:51:44.137174 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 40, length 64
20:51:44.656935 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 41, length 64
20:51:45.141397 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 41, length 64
20:51:45.657147 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 42, length 64
20:51:46.137989 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 42, length 64
20:51:46.656754 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 43, length 64
20:51:47.137572 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 43, length 64
20:51:47.657335 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 44, length 64
20:51:48.137985 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 44, length 64
20:51:48.657747 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 45, length 64
20:51:49.138389 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 45, length 64
20:51:49.658157 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 46, length 64
20:51:50.138907 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 46, length 64
20:51:50.658663 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 47, length 64
20:51:51.139336 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 47, length 64
20:51:51.659095 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 48, length 64
20:51:52.139734 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 48, length 64
20:51:52.659493 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 49, length 64
20:51:53.140094 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 49, length 64
20:51:53.659845 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 50, length 64
20:51:54.140300 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 50, length 64
20:51:54.660056 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 51, length 64
20:51:55.140674 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 51, length 64
20:51:55.660433 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 52, length 64
20:51:56.141090 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 52, length 64
20:51:56.660853 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 53, length 64
20:51:57.141499 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 53, length 64
20:51:57.661267 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 54, length 64
20:51:58.141830 IP 103.1.212.91 > 10.8.2.8: ICMP echo reply, id 1443, seq 54, length 64
20:51:58.661593 IP 10.8.2.8 > 103.1.212.91: ICMP echo request, id 1443, seq 55, length 64
