20:53:08.941512 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 1, length 64
20:53:10.332178 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 2, length 64
20:53:10.733323 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 2, length 64
20:53:11.333166 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 3, length 64
20:53:11.734680 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 3, length 64
20:53:12.334515 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 4, length 64
20:53:12.735453 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 4, length 64
20:53:13.335246 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 5, length 64
20:53:13.739489 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 5, length 64
20:53:14.336314 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 6, length 64
20:53:14.737469 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 6, length 64
20:53:15.337308 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 7, length 64
20:53:15.738253 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 7, length 64
20:53:16.338082 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 8, length 64
20:53:17.339271 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 9, length 64
20:53:17.740661 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 9, length 64
20:53:18.340503 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 10, length 64
20:53:18.743624 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 10, length 64
20:53:19.341421 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 11, length 64
20:53:19.742427 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 11, length 64
20:53:20.342259 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 12, length 64
20:53:20.743479 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 12, length 64
20:53:21.343262 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 13, length 64
20:53:21.745589 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 13, length 64
20:53:22.344423 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 14, length 64
20:53:22.745583 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 14, length 64
20:53:23.345422 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 15, length 64
20:53:23.746625 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 15, length 64
20:53:24.346424 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 16, length 64
20:53:24.747593 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 16, length 64
20:53:25.347269 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 17, length 64
20:53:25.748372 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 17, length 64
20:53:26.348202 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 18, length 64
20:53:26.749102 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 18, length 64
20:53:27.348952 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 19, length 64
20:53:27.750937 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 19, length 64
20:53:28.349780 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 20, length 64
20:53:28.750874 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 20, length 64
20:53:29.350712 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 21, length 64
20:53:29.751957 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 21, length 64
20:53:30.351241 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 22, length 64
20:53:30.752343 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 22, length 64
20:53:31.352180 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 23, length 64
20:53:31.754083 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 23, length 64
20:53:32.352915 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 24, length 64
20:53:32.754523 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 24, length 64
20:53:33.354365 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 25, length 64
20:53:33.755495 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 25, length 64
20:53:34.355251 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 26, length 64
20:53:34.756519 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 26, length 64
20:53:35.356353 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 27, length 64
20:53:35.757891 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 27, length 64
20:53:36.357304 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 28, length 64
20:53:36.758473 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 28, length 64
20:53:37.358311 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 29, length 64
20:53:37.759460 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 29, length 64
20:53:38.359243 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 30, length 64
20:53:38.760405 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 30, length 64
20:53:39.360237 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 31, length 64
20:53:39.761438 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 31, length 64
20:53:40.361281 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 32, length 64
20:53:40.770468 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 32, length 64
20:53:41.362286 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 33, length 64
20:53:41.763230 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 33, length 64
20:53:42.363052 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 34, length 64
20:53:42.763970 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 34, length 64
20:53:43.363255 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 35, length 64
20:53:43.764362 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 35, length 64
20:53:44.364178 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 36, length 64
20:53:44.765175 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 36, length 64
20:53:45.365023 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 37, length 64
20:53:45.766201 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 37, length 64
20:53:46.366024 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 38, length 64
20:53:46.766995 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 38, length 64
20:53:47.366831 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 39, length 64
20:53:47.768194 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 39, length 64
20:53:48.367979 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 40, length 64
20:53:48.768951 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 40, length 64
20:53:49.368778 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 41, length 64
20:53:49.769864 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 41, length 64
20:53:50.369696 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 42, length 64
20:53:50.770916 IP 91.239.206.147 > 10.8.2.8: ICMP echo reply, id 1452, seq 42, length 64
20:53:51.370747 IP 10.8.2.8 > 91.239.206.147: ICMP echo request, id 1452, seq 43, length 64
