20:58:18.974939 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 2, length 64
20:58:19.516701 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 3, length 64
20:58:19.976604 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 3, length 64
20:58:20.517431 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 4, length 64
20:58:20.977343 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 4, length 64
20:58:21.518127 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 5, length 64
20:58:21.977792 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 5, length 64
20:58:22.519580 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 6, length 64
20:58:22.979326 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 6, length 64
20:58:23.521104 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 7, length 64
20:58:23.980586 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 7, length 64
20:58:24.522366 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 8, length 64
20:58:24.982561 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 8, length 64
20:58:25.523352 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 9, length 64
20:58:26.065133 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 9, length 64
20:58:26.523820 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 10, length 64
20:58:26.983352 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 10, length 64
20:58:27.525140 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 11, length 64
20:58:27.984773 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 11, length 64
20:58:28.526557 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 12, length 64
20:58:28.986175 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 12, length 64
20:58:29.527956 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 13, length 64
20:58:29.987423 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 13, length 64
20:58:30.529204 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 14, length 64
20:58:30.988774 IP 103.156.51.81 > 10.8.2.8: ICMP echo reply, id 1470, seq 14, length 64
20:58:31.530563 IP 10.8.2.8 > 103.156.51.81: ICMP echo request, id 1470, seq 15, length 64
