20:43:52.251668 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 2, length 64
20:43:52.608215 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 2, length 64
20:43:53.253075 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 3, length 64
20:43:53.609624 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 3, length 64
20:43:54.254503 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 4, length 64
20:43:54.610984 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 4, length 64
20:43:55.255873 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 5, length 64
20:43:55.612686 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 5, length 64
20:43:56.257542 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 6, length 64
20:43:56.614209 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 6, length 64
20:43:57.259097 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 7, length 64
20:43:57.616273 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 7, length 64
20:43:58.260146 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 8, length 64
20:43:58.616985 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 8, length 64
20:43:59.260857 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 9, length 64
20:43:59.617866 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 9, length 64
20:44:00.261737 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 10, length 64
20:44:00.618815 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 10, length 64
20:44:01.262686 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 11, length 64
20:44:01.619415 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 11, length 64
20:44:02.264291 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 12, length 64
20:44:02.621194 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 12, length 64
20:44:03.265042 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 13, length 64
20:44:03.621694 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 13, length 64
20:44:04.266550 IP 10.8.2.8 > 37.120.210.107: ICMP echo request, id 1416, seq 14, length 64
20:44:04.623047 IP 37.120.210.107 > 10.8.2.8: ICMP echo reply, id 1416, seq 14, length 64
