20:57:16.800869 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 2, length 64
20:57:17.182695 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 2, length 64
20:57:17.800523 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 3, length 64
20:57:18.182353 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 3, length 64
20:57:18.801217 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 4, length 64
20:57:19.183270 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 4, length 64
20:57:19.801125 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 5, length 64
20:57:20.183077 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 5, length 64
20:57:20.800949 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 6, length 64
20:57:21.182732 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 6, length 64
20:57:21.801587 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 7, length 64
20:57:22.183865 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 7, length 64
20:57:22.801719 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 8, length 64
20:57:23.183512 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 8, length 64
20:57:23.802364 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 9, length 64
20:57:24.184043 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 9, length 64
20:57:24.802892 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 10, length 64
20:57:25.184546 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 10, length 64
20:57:25.803397 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 11, length 64
20:57:26.185091 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 11, length 64
20:57:26.803940 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 12, length 64
20:57:27.186117 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 12, length 64
20:57:27.803967 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 13, length 64
20:57:28.185702 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 13, length 64
20:57:28.804547 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 14, length 64
20:57:29.186060 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 14, length 64
20:57:29.804914 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 15, length 64
20:57:30.186897 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 15, length 64
20:57:30.804740 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 16, length 64
20:57:31.186631 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 16, length 64
20:57:31.804494 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 17, length 64
20:57:32.186136 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 17, length 64
20:57:32.804990 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 18, length 64
20:57:33.186900 IP 107.150.94.35 > 10.8.2.8: ICMP echo reply, id 1467, seq 18, length 64
20:57:33.804749 IP 10.8.2.8 > 107.150.94.35: ICMP echo request, id 1467, seq 19, length 64
