20:56:20.122589 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 2, length 64
20:56:20.373456 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 2, length 64
20:56:21.123442 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 3, length 64
20:56:21.374140 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 3, length 64
20:56:22.125120 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 4, length 64
20:56:22.376815 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 4, length 64
20:56:23.126801 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 5, length 64
20:56:23.377781 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 5, length 64
20:56:24.127763 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 6, length 64
20:56:24.378566 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 6, length 64
20:56:25.129551 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 7, length 64
20:56:25.380366 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 7, length 64
20:56:26.131352 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 8, length 64
20:56:26.382363 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 8, length 64
20:56:27.132352 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 9, length 64
20:56:27.383595 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 9, length 64
20:56:28.133577 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 10, length 64
20:56:28.384566 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 10, length 64
20:56:29.134553 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 11, length 64
20:56:29.385621 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 11, length 64
20:56:30.135600 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 12, length 64
20:56:30.386567 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 12, length 64
20:56:31.136549 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 13, length 64
20:56:31.387519 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 13, length 64
20:56:32.137511 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 14, length 64
20:56:32.388548 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 14, length 64
20:56:33.138545 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 15, length 64
20:56:33.389572 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 15, length 64
20:56:34.139556 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 16, length 64
20:56:34.390332 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 16, length 64
20:56:35.141318 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 17, length 64
20:56:35.392579 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 17, length 64
20:56:36.142562 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 18, length 64
20:56:36.393743 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 18, length 64
20:56:37.143728 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 19, length 64
20:56:37.394994 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 19, length 64
20:56:38.145010 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 20, length 64
20:56:38.396061 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 20, length 64
20:56:39.146046 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 21, length 64
20:56:39.396752 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 21, length 64
20:56:40.147739 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 22, length 64
20:56:40.398804 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 22, length 64
20:56:41.148793 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 23, length 64
20:56:41.400099 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 23, length 64
20:56:42.150073 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 24, length 64
20:56:42.400929 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 24, length 64
20:56:43.150916 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 25, length 64
20:56:43.402121 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 25, length 64
20:56:44.152104 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 26, length 64
20:56:44.403549 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 26, length 64
20:56:45.153539 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 27, length 64
20:56:45.404737 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 27, length 64
20:56:46.154719 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 28, length 64
20:56:46.405534 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 28, length 64
20:56:47.156518 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 29, length 64
20:56:47.407716 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 29, length 64
20:56:48.157698 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 30, length 64
20:56:48.408727 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 30, length 64
20:56:49.158709 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 31, length 64
20:56:49.409541 IP 192.145.117.100 > 10.8.2.8: ICMP echo reply, id 1463, seq 31, length 64
20:56:50.159525 IP 10.8.2.8 > 192.145.117.100: ICMP echo request, id 1463, seq 32, length 64
