21:48:20.369412 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 2, length 64
21:48:21.375292 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 3, length 64
21:48:21.644485 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 3, length 64
21:48:22.376481 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 4, length 64
21:48:22.644479 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 4, length 64
21:48:23.377173 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 5, length 64
21:48:23.648519 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 5, length 64
21:48:24.378478 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 6, length 64
21:48:24.646723 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 6, length 64
21:48:25.379332 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 7, length 64
21:48:25.648194 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 7, length 64
21:48:26.380170 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 8, length 64
21:48:26.649008 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 8, length 64
21:48:27.381960 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 9, length 64
21:48:27.650641 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 9, length 64
21:48:28.383612 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 10, length 64
21:48:28.652083 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 10, length 64
21:48:29.384801 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 11, length 64
21:48:29.654065 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 11, length 64
21:48:30.386048 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 12, length 64
21:48:30.654914 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 12, length 64
21:48:31.386851 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 13, length 64
21:48:31.655710 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 13, length 64
21:48:32.387490 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 14, length 64
21:48:32.655709 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 14, length 64
21:48:33.388680 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 15, length 64
21:48:33.658727 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 15, length 64
21:48:34.389697 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 16, length 64
21:48:34.659601 IP 185.99.3.104 > 10.8.3.5: ICMP echo reply, id 1658, seq 16, length 64
21:48:35.390000 IP 10.8.3.5 > 185.99.3.104: ICMP echo request, id 1658, seq 17, length 64
