21:46:16.491277 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 3, length 64
21:46:16.722726 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 3, length 64
21:46:17.492070 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 4, length 64
21:46:17.723515 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 4, length 64
21:46:18.493531 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 5, length 64
21:46:18.725105 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 5, length 64
21:46:19.495039 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 6, length 64
21:46:19.726740 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 6, length 64
21:46:20.496762 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 7, length 64
21:46:20.728491 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 7, length 64
21:46:21.498512 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 8, length 64
21:46:21.730191 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 8, length 64
21:46:22.500028 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 9, length 64
21:46:22.731526 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 9, length 64
21:46:23.501481 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 10, length 64
21:46:23.733196 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 10, length 64
21:46:24.503213 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 11, length 64
21:46:24.736020 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 11, length 64
21:46:25.505017 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 12, length 64
21:46:25.736678 IP 81.92.202.11 > 10.8.3.5: ICMP echo reply, id 1648, seq 12, length 64
21:46:26.506651 IP 10.8.3.5 > 81.92.202.11: ICMP echo request, id 1648, seq 13, length 64
