21:47:17.926935 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 2, length 64
21:47:18.229075 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 2, length 64
21:47:18.926976 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 3, length 64
21:47:19.228554 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 3, length 64
21:47:19.927217 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 4, length 64
21:47:20.228685 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 4, length 64
21:47:20.927217 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 5, length 64
21:47:21.228985 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 5, length 64
21:47:21.927931 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 6, length 64
21:47:22.229101 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 6, length 64
21:47:22.928034 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 7, length 64
21:47:23.229755 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 7, length 64
21:47:23.928677 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 8, length 64
21:47:24.230286 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 8, length 64
21:47:24.929217 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 9, length 64
21:47:25.231030 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 9, length 64
21:47:25.929976 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 10, length 64
21:47:26.231611 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 10, length 64
21:47:26.930556 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 11, length 64
21:47:27.232429 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 11, length 64
21:47:27.930356 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 12, length 64
21:47:28.232690 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 12, length 64
21:47:28.930600 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 13, length 64
21:47:29.232133 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 13, length 64
21:47:29.931088 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 14, length 64
21:47:30.232737 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 14, length 64
21:47:30.931251 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 15, length 64
21:47:31.232956 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 15, length 64
21:47:31.931247 IP 10.8.3.5 > 66.55.146.98: ICMP echo request, id 1653, seq 16, length 64
21:47:32.232952 IP 66.55.146.98 > 10.8.3.5: ICMP echo reply, id 1653, seq 16, length 64
