23:40:47.249538 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 1, length 64
23:40:48.097638 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 2, length 64
23:40:48.598720 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 2, length 64
23:40:49.098448 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 3, length 64
23:40:49.597339 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 3, length 64
23:40:50.099079 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 4, length 64
23:40:50.598511 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 4, length 64
23:40:51.100242 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 5, length 64
23:40:51.599166 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 5, length 64
23:40:52.100905 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 6, length 64
23:40:52.599972 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 6, length 64
23:40:53.101744 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 7, length 64
23:40:53.601818 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 7, length 64
23:40:54.102553 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 8, length 64
23:40:54.601422 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 8, length 64
23:40:55.103146 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 9, length 64
23:40:55.601786 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 9, length 64
23:40:56.104522 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 10, length 64
23:40:56.603273 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 10, length 64
23:40:57.106028 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 11, length 64
23:40:57.605061 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 11, length 64
23:40:58.106785 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 12, length 64
23:40:58.605491 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 12, length 64
23:40:59.108220 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 13, length 64
23:40:59.607101 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 13, length 64
23:41:00.108842 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 14, length 64
23:41:00.607744 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 14, length 64
23:41:01.109481 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 15, length 64
23:41:01.608195 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 15, length 64
23:41:02.110932 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 16, length 64
23:41:02.611501 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 16, length 64
23:41:03.112239 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 17, length 64
23:41:03.610956 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 17, length 64
23:41:04.113695 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 18, length 64
23:41:04.612404 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 18, length 64
23:41:05.115143 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 19, length 64
23:41:05.614195 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 19, length 64
23:41:06.115922 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 20, length 64
23:41:06.614598 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 20, length 64
23:41:07.117330 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 21, length 64
23:41:07.616226 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 21, length 64
23:41:08.117964 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 22, length 64
23:41:08.616688 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 22, length 64
23:41:09.119412 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 23, length 64
23:41:10.140221 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 24, length 64
23:41:10.638868 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 24, length 64
23:41:11.141544 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 25, length 64
23:41:11.640134 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 25, length 64
23:41:12.142858 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 26, length 64
23:41:12.641503 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 26, length 64
23:41:13.144236 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 27, length 64
23:41:13.643140 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 27, length 64
23:41:14.144880 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 28, length 64
23:41:14.643726 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 28, length 64
23:41:15.145451 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 29, length 64
23:41:15.644160 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 29, length 64
23:41:16.146907 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 30, length 64
23:41:16.645575 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 30, length 64
23:41:17.148305 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 31, length 64
23:41:17.646963 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 31, length 64
23:41:18.149693 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 32, length 64
23:41:18.648214 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 32, length 64
23:41:19.150954 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 33, length 64
23:41:19.649640 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 33, length 64
23:41:20.152346 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 34, length 64
23:41:20.651089 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 34, length 64
23:41:21.153826 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 35, length 64
23:41:21.652644 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 35, length 64
23:41:22.155370 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 36, length 64
23:41:22.654147 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 36, length 64
23:41:23.156887 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 37, length 64
23:41:23.655678 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 37, length 64
23:41:24.158408 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 38, length 64
23:41:24.657133 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 38, length 64
23:41:25.159863 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 39, length 64
23:41:25.658565 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 39, length 64
23:41:26.161306 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 40, length 64
23:41:26.659915 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 40, length 64
23:41:27.162643 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 41, length 64
23:41:27.661166 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 41, length 64
23:41:28.163911 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 42, length 64
23:41:28.663561 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 42, length 64
23:41:29.165277 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 43, length 64
23:41:29.664332 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 43, length 64
23:41:30.166014 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 44, length 64
23:41:30.664613 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 44, length 64
23:41:31.167346 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 45, length 64
23:41:31.665857 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 45, length 64
23:41:32.168587 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 46, length 64
23:41:32.667424 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 46, length 64
23:41:33.169169 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 47, length 64
23:41:33.667643 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 47, length 64
23:41:34.170381 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 48, length 64
23:41:34.669059 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 48, length 64
23:41:35.171793 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 49, length 64
23:41:35.670267 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 49, length 64
23:41:36.172994 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 50, length 64
23:41:36.671498 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 50, length 64
23:41:37.174235 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 51, length 64
23:41:37.672766 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 51, length 64
23:41:38.175492 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 52, length 64
23:41:38.674343 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 52, length 64
23:41:39.176082 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 53, length 64
23:41:39.690941 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 53, length 64
23:41:40.176657 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 54, length 64
23:41:40.675357 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 54, length 64
23:41:41.178097 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 55, length 64
23:41:42.204210 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 56, length 64
23:41:42.703024 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 56, length 64
23:41:43.205754 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 57, length 64
23:41:43.705420 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 57, length 64
23:41:44.207158 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 58, length 64
23:41:44.706430 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 58, length 64
23:41:45.208168 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 59, length 64
23:41:45.706874 IP 37.120.210.107 > 10.8.1.27: ICMP echo reply, id 1253, seq 59, length 64
23:41:46.209603 IP 10.8.1.27 > 37.120.210.107: ICMP echo request, id 1253, seq 60, length 64
