23:43:53.660153 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 2, length 64
23:43:53.944263 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 2, length 64
23:43:54.661142 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 3, length 64
23:43:54.945111 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 3, length 64
23:43:55.662094 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 4, length 64
23:43:55.946388 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 4, length 64
23:43:56.663345 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 5, length 64
23:43:56.947539 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 5, length 64
23:43:57.664204 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 6, length 64
23:43:57.948345 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 6, length 64
23:43:58.665299 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 7, length 64
23:43:58.949572 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 7, length 64
23:43:59.666528 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 8, length 64
23:43:59.950809 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 8, length 64
23:44:00.667759 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 9, length 64
23:44:00.951861 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 9, length 64
23:44:01.668203 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 10, length 64
23:44:01.952630 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 10, length 64
23:44:02.669582 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 11, length 64
23:44:02.954066 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 11, length 64
23:44:03.671020 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 12, length 64
23:44:03.956049 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 12, length 64
23:44:04.672003 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 13, length 64
23:44:04.956089 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 13, length 64
23:44:05.673056 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 14, length 64
23:44:05.957285 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 14, length 64
23:44:06.674237 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 15, length 64
23:44:06.958493 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 15, length 64
23:44:07.675446 IP 10.8.1.27 > 185.176.222.47: ICMP echo request, id 1264, seq 16, length 64
23:44:07.959759 IP 185.176.222.47 > 10.8.1.27: ICMP echo reply, id 1264, seq 16, length 64
