15:17:50.449015 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 3, length 64
15:17:50.767376 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 3, length 64
15:17:51.450217 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 4, length 64
15:17:51.768608 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 4, length 64
15:17:52.451540 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 5, length 64
15:17:52.772248 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 5, length 64
15:17:53.453149 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 6, length 64
15:17:53.771602 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 6, length 64
15:17:54.454510 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 7, length 64
15:17:54.773049 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 7, length 64
15:17:55.455957 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 8, length 64
15:17:55.774778 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 8, length 64
15:17:56.457686 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 9, length 64
15:17:56.776007 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 9, length 64
15:17:57.458916 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 10, length 64
15:17:57.777746 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 10, length 64
15:17:58.460655 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 11, length 64
15:17:58.778974 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 11, length 64
15:17:59.461882 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 12, length 64
15:17:59.780345 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 12, length 64
15:18:00.463242 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 13, length 64
15:18:00.781798 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 13, length 64
15:18:01.464706 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 14, length 64
15:18:01.783198 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 14, length 64
15:18:02.466105 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 15, length 64
15:18:02.784694 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 15, length 64
15:18:03.467611 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 16, length 64
15:18:03.786299 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 197, seq 16, length 64
15:18:04.469205 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 197, seq 17, length 64
