15:14:44.081922 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 2, length 64
15:14:44.576292 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 2, length 64
15:14:45.083068 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 3, length 64
15:14:45.580385 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 3, length 64
15:14:46.084134 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 4, length 64
15:14:46.579633 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 4, length 64
15:14:47.085362 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 5, length 64
15:14:47.579341 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 5, length 64
15:14:48.086071 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 6, length 64
15:14:48.580660 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 6, length 64
15:14:49.087404 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 7, length 64
15:14:49.581347 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 7, length 64
15:14:50.088082 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 8, length 64
15:14:50.585317 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 8, length 64
15:14:51.089047 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 9, length 64
15:14:51.589755 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 9, length 64
15:14:52.090485 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 10, length 64
15:14:52.584622 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 10, length 64
15:14:53.091365 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 11, length 64
15:14:53.597044 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 11, length 64
15:14:54.092782 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 12, length 64
15:14:54.586996 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 12, length 64
15:14:55.093732 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 13, length 64
15:14:55.587881 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 13, length 64
15:14:56.094612 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 14, length 64
15:14:56.589277 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 14, length 64
15:14:57.096011 IP 10.8.1.2 > 103.4.30.123: ICMP echo request, id 186, seq 15, length 64
15:14:57.590091 IP 103.4.30.123 > 10.8.1.2: ICMP echo reply, id 186, seq 15, length 64
