15:30:26.520912 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 2, length 64
15:30:26.945842 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 2, length 64
15:30:27.521641 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 3, length 64
15:30:27.946676 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 3, length 64
15:30:28.522488 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 4, length 64
15:30:28.947678 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 4, length 64
15:30:29.523491 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 5, length 64
15:30:29.948555 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 5, length 64
15:30:30.524357 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 6, length 64
15:30:30.949395 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 6, length 64
15:30:31.525197 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 7, length 64
15:30:31.950132 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 7, length 64
15:30:32.525941 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 8, length 64
15:30:32.951360 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 8, length 64
15:30:33.527171 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 9, length 64
15:30:33.952238 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 9, length 64
15:30:34.528044 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 10, length 64
15:30:34.953067 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 10, length 64
15:30:35.528865 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 11, length 64
15:30:35.954023 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 11, length 64
15:30:36.529822 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 12, length 64
15:30:36.954700 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 12, length 64
15:30:37.530512 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 13, length 64
15:30:37.955269 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 13, length 64
15:30:38.532067 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 14, length 64
15:30:38.957115 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 14, length 64
15:30:39.532911 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 15, length 64
15:30:39.958085 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 15, length 64
15:30:40.533889 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 16, length 64
15:30:40.958966 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 16, length 64
15:30:41.534760 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 17, length 64
15:30:41.959778 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 17, length 64
15:30:42.535574 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 18, length 64
15:30:42.961165 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 18, length 64
15:30:43.536966 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 19, length 64
15:30:43.961833 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 19, length 64
15:30:44.537637 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 20, length 64
15:30:44.962658 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 20, length 64
15:30:45.538457 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 21, length 64
15:30:45.963421 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 21, length 64
15:30:46.539218 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 22, length 64
15:30:46.964092 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 22, length 64
15:30:47.539890 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 23, length 64
15:30:47.964961 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 23, length 64
15:30:48.540766 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 24, length 64
15:30:48.965979 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 24, length 64
15:30:49.541782 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 25, length 64
15:30:49.966824 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 25, length 64
15:30:50.542641 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 26, length 64
15:30:50.967586 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 26, length 64
15:30:51.543386 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 27, length 64
15:30:51.968413 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 27, length 64
15:30:52.544211 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 28, length 64
15:30:52.969249 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 28, length 64
15:30:53.545050 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 29, length 64
15:30:53.969882 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 29, length 64
15:30:54.546688 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 30, length 64
15:30:54.971723 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 30, length 64
15:30:55.547525 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 31, length 64
15:30:55.972551 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 31, length 64
15:30:56.548349 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 32, length 64
15:30:56.973737 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 32, length 64
15:30:57.549540 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 33, length 64
15:30:57.974455 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 33, length 64
15:30:58.550259 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 34, length 64
15:30:58.975212 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 34, length 64
15:30:59.551013 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 35, length 64
15:30:59.975832 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 35, length 64
15:31:00.552633 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 36, length 64
15:31:00.977588 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 36, length 64
15:31:01.553389 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 37, length 64
15:31:01.978425 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 37, length 64
15:31:02.554239 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 38, length 64
15:31:02.979128 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 38, length 64
15:31:03.554932 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 39, length 64
15:31:03.979869 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 39, length 64
15:31:04.555670 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 40, length 64
15:31:04.981191 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 40, length 64
15:31:05.556988 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 41, length 64
15:31:05.981950 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 41, length 64
15:31:06.557744 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 42, length 64
15:31:06.982752 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 42, length 64
15:31:07.558553 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 43, length 64
15:31:07.983333 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 43, length 64
15:31:08.560130 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 44, length 64
15:31:08.984795 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 44, length 64
15:31:09.561586 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 45, length 64
15:31:09.986435 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 45, length 64
15:31:10.563230 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 46, length 64
15:31:10.988414 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 46, length 64
15:31:11.564208 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 47, length 64
15:31:11.989053 IP 194.60.86.3 > 10.8.1.2: ICMP echo reply, id 245, seq 47, length 64
15:31:12.565842 IP 10.8.1.2 > 194.60.86.3: ICMP echo request, id 245, seq 48, length 64
