16:37:09.816717 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 2, length 64
16:37:10.253406 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 2, length 64
16:37:10.817207 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 3, length 64
16:37:11.254702 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 3, length 64
16:37:11.817491 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 4, length 64
16:37:12.256258 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 4, length 64
16:37:12.818044 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 5, length 64
16:37:13.254641 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 5, length 64
16:37:13.818436 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 6, length 64
16:37:14.255064 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 6, length 64
16:37:14.818868 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 7, length 64
16:37:15.255503 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 7, length 64
16:37:15.819244 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 8, length 64
16:37:16.255719 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 8, length 64
16:37:16.819507 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 9, length 64
16:37:17.256093 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 9, length 64
16:37:17.819887 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 10, length 64
16:37:18.256555 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 10, length 64
16:37:18.820343 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 11, length 64
16:37:19.257977 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 11, length 64
16:37:19.820763 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 12, length 64
16:37:20.257256 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 12, length 64
16:37:20.821001 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 13, length 64
16:37:21.257810 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 13, length 64
16:37:21.821597 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 14, length 64
16:37:22.262436 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 14, length 64
16:37:22.822223 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 15, length 64
16:37:23.259894 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 15, length 64
16:37:23.822681 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 16, length 64
16:37:24.259538 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 16, length 64
16:37:24.822325 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 17, length 64
16:37:25.263150 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 17, length 64
16:37:25.822935 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 18, length 64
16:37:26.259711 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 18, length 64
16:37:26.823241 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 19, length 64
16:37:27.267376 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 19, length 64
16:37:27.823169 IP 10.8.3.5 > 194.99.105.100: ICMP echo request, id 493, seq 20, length 64
16:37:28.263222 IP 194.99.105.100 > 10.8.3.5: ICMP echo reply, id 493, seq 20, length 64
