16:45:19.309737 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 1, length 64
16:45:19.579336 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 1, length 64
16:45:20.525871 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 2, length 64
16:45:20.795211 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 2, length 64
16:45:21.527195 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 3, length 64
16:45:21.796507 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 3, length 64
16:45:22.528470 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 4, length 64
16:45:22.797817 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 4, length 64
16:45:23.529654 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 5, length 64
16:45:23.798840 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 5, length 64
16:45:24.530785 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 6, length 64
16:45:24.800253 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 6, length 64
16:45:25.532197 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 7, length 64
16:45:25.801548 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 7, length 64
16:45:26.533488 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 8, length 64
16:45:26.802881 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 8, length 64
16:45:27.534826 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 9, length 64
16:45:27.803884 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 9, length 64
16:45:28.535835 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 10, length 64
16:45:28.805095 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 10, length 64
16:45:29.537062 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 11, length 64
16:45:29.806444 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 11, length 64
16:45:30.538386 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 12, length 64
16:45:30.807807 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 12, length 64
16:45:31.539257 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 13, length 64
16:45:31.808365 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 13, length 64
16:45:32.540310 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 14, length 64
16:45:32.812814 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 14, length 64
16:45:33.541759 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 15, length 64
16:45:33.811041 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 15, length 64
16:45:34.543013 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 16, length 64
16:45:34.812077 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 16, length 64
16:45:35.544013 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 17, length 64
16:45:36.571263 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 18, length 64
16:45:36.840526 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 18, length 64
16:45:37.572469 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 19, length 64
16:45:37.841904 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 19, length 64
16:45:38.573853 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 20, length 64
16:45:38.843116 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 20, length 64
16:45:39.575092 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 21, length 64
16:45:39.844356 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 21, length 64
16:45:40.576325 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 22, length 64
16:45:40.845590 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 22, length 64
16:45:41.577543 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 23, length 64
16:45:41.846619 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 23, length 64
16:45:42.578566 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 24, length 64
16:45:42.847849 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 24, length 64
16:45:43.579799 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 25, length 64
16:45:43.849330 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 25, length 64
16:45:44.581292 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 26, length 64
16:45:44.850513 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 26, length 64
16:45:45.582482 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 27, length 64
16:45:45.851831 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 27, length 64
16:45:46.583786 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 28, length 64
16:45:46.853073 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 28, length 64
16:45:47.585043 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 29, length 64
16:45:47.854349 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 29, length 64
16:45:48.586307 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 30, length 64
16:45:48.855941 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 30, length 64
16:45:49.587896 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 31, length 64
16:45:49.857496 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 31, length 64
16:45:50.589451 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 32, length 64
16:45:50.858639 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 32, length 64
16:45:51.590599 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 33, length 64
16:45:51.861880 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 33, length 64
16:45:52.591832 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 34, length 64
16:45:52.861677 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 34, length 64
16:45:53.592641 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 35, length 64
16:45:53.861903 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 35, length 64
16:45:54.593858 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 36, length 64
16:45:54.863299 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 36, length 64
16:45:55.595282 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 37, length 64
16:45:55.872135 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 37, length 64
16:45:56.596089 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 38, length 64
16:45:56.865332 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 38, length 64
16:45:57.597281 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 39, length 64
16:45:57.866606 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 39, length 64
16:45:58.598564 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 40, length 64
16:45:58.868352 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 40, length 64
16:45:59.600199 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 41, length 64
16:45:59.879914 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 41, length 64
16:46:00.601861 IP 10.8.3.5 > 103.107.198.131: ICMP echo request, id 528, seq 42, length 64
16:46:00.871041 IP 103.107.198.131 > 10.8.3.5: ICMP echo reply, id 528, seq 42, length 64
