18:41:12.354930 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 2, length 64
18:41:12.880868 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 2, length 64
18:41:13.355585 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 3, length 64
18:41:13.881495 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 3, length 64
18:41:14.356197 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 4, length 64
18:41:14.882343 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 4, length 64
18:41:15.357051 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 5, length 64
18:41:15.882460 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 5, length 64
18:41:16.358157 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 6, length 64
18:41:16.883946 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 6, length 64
18:41:17.359652 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 7, length 64
18:41:17.885331 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 7, length 64
18:41:18.360983 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 8, length 64
18:41:18.886523 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 8, length 64
18:41:19.362142 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 9, length 64
18:41:19.887794 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 9, length 64
18:41:20.363506 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 10, length 64
18:41:20.888938 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 10, length 64
18:41:21.364641 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 11, length 64
18:41:21.890438 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 11, length 64
18:41:22.366146 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 12, length 64
18:41:22.892039 IP 103.1.212.91 > 10.8.0.4: ICMP echo reply, id 132, seq 12, length 64
18:41:23.366751 IP 10.8.0.4 > 103.1.212.91: ICMP echo request, id 132, seq 13, length 64
