18:30:48.017588 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 2, length 64
18:30:48.301041 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 2, length 64
18:30:49.019003 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 3, length 64
18:30:49.300932 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 3, length 64
18:30:50.019797 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 4, length 64
18:30:50.301980 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 4, length 64
18:30:51.020951 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 5, length 64
18:30:51.303959 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 5, length 64
18:30:52.021942 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 6, length 64
18:30:52.304817 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 6, length 64
18:30:53.022773 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 7, length 64
18:30:53.306276 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 7, length 64
18:30:54.024233 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 8, length 64
18:30:54.306615 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 8, length 64
18:30:55.025588 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 9, length 64
18:30:55.308845 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 9, length 64
18:30:56.026793 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 10, length 64
18:30:56.308808 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 10, length 64
18:30:57.027758 IP 10.8.0.4 > 82.102.18.252: ICMP echo request, id 92, seq 11, length 64
18:30:57.309854 IP 82.102.18.252 > 10.8.0.4: ICMP echo reply, id 92, seq 11, length 64
