18:41:10.910397 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 2, length 64
18:41:11.607347 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 3, length 64
18:41:11.912031 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 3, length 64
18:41:12.608974 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 4, length 64
18:41:12.913810 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 4, length 64
18:41:13.609735 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 5, length 64
18:41:13.914472 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 5, length 64
18:41:14.611407 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 6, length 64
18:41:14.916852 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 6, length 64
18:41:15.612819 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 7, length 64
18:41:15.918679 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 7, length 64
18:41:16.613608 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 8, length 64
18:41:16.918523 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 8, length 64
18:41:17.614447 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 9, length 64
18:41:17.919400 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 9, length 64
18:41:18.615241 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 10, length 64
18:41:18.919903 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 10, length 64
18:41:19.616230 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 11, length 64
18:41:19.920923 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 11, length 64
18:41:20.617839 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 12, length 64
18:41:20.922945 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 12, length 64
18:41:21.618877 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 13, length 64
18:41:21.923767 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 13, length 64
18:41:22.619704 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 14, length 64
18:41:22.926264 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 14, length 64
18:41:23.621181 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 15, length 64
18:41:23.925785 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 15, length 64
18:41:24.622701 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 16, length 64
18:41:24.928055 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 16, length 64
18:41:25.623979 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 17, length 64
18:41:25.928706 IP 82.102.27.211 > 10.8.0.4: ICMP echo reply, id 131, seq 17, length 64
18:41:26.625630 IP 10.8.0.4 > 82.102.27.211: ICMP echo request, id 131, seq 18, length 64
