18:34:57.294438 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 1, length 64
18:34:57.591079 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 1, length 64
18:34:58.295772 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 2, length 64
18:34:58.592237 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 2, length 64
18:34:59.297166 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 3, length 64
18:34:59.593831 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 3, length 64
18:35:00.298775 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 4, length 64
18:35:00.595246 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 4, length 64
18:35:01.300189 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 5, length 64
18:35:01.596888 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 5, length 64
18:35:02.301826 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 6, length 64
18:35:02.598464 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 6, length 64
18:35:03.303396 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 7, length 64
18:35:03.599709 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 7, length 64
18:35:04.304650 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 8, length 64
18:35:04.600895 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 8, length 64
18:35:05.305829 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 9, length 64
18:35:05.602160 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 9, length 64
18:35:06.307100 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 10, length 64
18:35:06.603722 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 10, length 64
18:35:07.308671 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 11, length 64
18:35:07.604940 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 11, length 64
18:35:08.309863 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 12, length 64
18:35:08.606280 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 12, length 64
18:35:09.311214 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 13, length 64
18:35:09.607592 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 13, length 64
18:35:10.312517 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 14, length 64
18:35:10.611153 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 14, length 64
18:35:11.314005 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 15, length 64
18:35:11.610838 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 15, length 64
18:35:12.315771 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 16, length 64
18:35:12.612634 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 16, length 64
18:35:13.316574 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 17, length 64
18:35:13.612912 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 17, length 64
18:35:14.317840 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 18, length 64
18:35:14.614098 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 18, length 64
18:35:15.319025 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 19, length 64
18:35:15.616321 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 19, length 64
18:35:16.320256 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 20, length 64
18:35:16.616559 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 20, length 64
18:35:17.321490 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 21, length 64
18:35:17.619750 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 21, length 64
18:35:18.322686 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 22, length 64
18:35:18.620961 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 22, length 64
18:35:19.323899 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 23, length 64
18:35:19.620282 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 23, length 64
18:35:20.325229 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 24, length 64
18:35:20.631694 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 24, length 64
18:35:21.326632 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 25, length 64
18:35:21.624226 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 25, length 64
18:35:22.328163 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 26, length 64
18:35:22.624678 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 26, length 64
18:35:23.329617 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 27, length 64
18:35:23.626270 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 27, length 64
18:35:24.331215 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 28, length 64
18:35:24.628939 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 28, length 64
18:35:25.332886 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 29, length 64
18:35:25.630318 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 29, length 64
18:35:26.334263 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 30, length 64
18:35:26.630748 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 30, length 64
18:35:27.335683 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 31, length 64
18:35:27.632171 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 31, length 64
18:35:28.337116 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 32, length 64
18:35:28.634997 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 32, length 64
18:35:29.337942 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 33, length 64
18:35:29.640047 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 33, length 64
18:35:30.338994 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 34, length 64
18:35:30.635429 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 34, length 64
18:35:31.340373 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 35, length 64
18:35:31.640493 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 35, length 64
18:35:32.341432 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 36, length 64
18:35:32.647433 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 36, length 64
18:35:33.342364 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 37, length 64
18:35:33.641759 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 37, length 64
18:35:34.343699 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 38, length 64
18:35:34.640722 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 38, length 64
18:35:35.344666 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 39, length 64
18:35:35.641753 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 39, length 64
18:35:36.345688 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 40, length 64
18:35:36.642368 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 40, length 64
18:35:37.347305 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 41, length 64
18:35:37.643941 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 41, length 64
18:35:38.348887 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 42, length 64
18:35:38.646212 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 42, length 64
18:35:39.350165 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 43, length 64
18:35:39.646849 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 43, length 64
18:35:40.351792 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 44, length 64
18:35:40.648273 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 44, length 64
18:35:41.353169 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 45, length 64
18:35:41.649672 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 45, length 64
18:35:42.354619 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 46, length 64
18:35:42.656493 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 46, length 64
18:35:43.355394 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 47, length 64
18:35:43.651966 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 47, length 64
18:35:44.356919 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 48, length 64
18:35:44.653269 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 48, length 64
18:35:45.358210 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 49, length 64
18:35:45.654704 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 49, length 64
18:35:46.359648 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 50, length 64
18:35:46.655930 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 50, length 64
18:35:47.360876 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 51, length 64
18:35:47.657184 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 51, length 64
18:35:48.362127 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 52, length 64
18:35:48.658370 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 52, length 64
18:35:49.363321 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 53, length 64
18:35:49.660204 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 53, length 64
18:35:50.364150 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 54, length 64
18:35:50.660820 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 54, length 64
18:35:51.365758 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 55, length 64
18:35:51.662053 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 55, length 64
18:35:52.366995 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 56, length 64
18:35:52.663487 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 56, length 64
18:35:53.368431 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 57, length 64
18:35:53.665064 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 57, length 64
18:35:54.370015 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 58, length 64
18:35:54.666659 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 58, length 64
18:35:55.371594 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 59, length 64
18:35:55.668530 IP 86.106.137.187 > 10.8.0.4: ICMP echo reply, id 110, seq 59, length 64
18:35:56.372473 IP 10.8.0.4 > 86.106.137.187: ICMP echo request, id 110, seq 60, length 64
