09:50:13.312416 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 2, length 64
09:50:13.682494 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 2, length 64
09:50:14.313358 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 3, length 64
09:50:14.683294 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 3, length 64
09:50:15.314170 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 4, length 64
09:50:15.684188 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 4, length 64
09:50:16.315048 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 5, length 64
09:50:16.685285 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 5, length 64
09:50:17.316156 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 6, length 64
09:50:17.686299 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 6, length 64
09:50:18.317171 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 7, length 64
09:50:18.687268 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 7, length 64
09:50:19.318142 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 8, length 64
09:50:19.688105 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 8, length 64
09:50:20.318968 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 9, length 64
09:50:20.688942 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 9, length 64
09:50:21.319815 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 10, length 64
09:50:21.689820 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 10, length 64
09:50:22.320691 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 11, length 64
09:50:22.690621 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 11, length 64
09:50:23.321495 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 12, length 64
09:50:23.691510 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 12, length 64
09:50:24.322379 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 13, length 64
09:50:24.692584 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 13, length 64
09:50:25.323447 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 14, length 64
09:50:25.693484 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 14, length 64
09:50:26.324342 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 15, length 64
09:50:26.694494 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 15, length 64
09:50:27.325353 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 16, length 64
09:50:27.695612 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 16, length 64
09:50:28.326484 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 17, length 64
09:50:28.696278 IP 192.145.117.100 > 10.8.0.4: ICMP echo reply, id 1218, seq 17, length 64
09:50:29.328150 IP 10.8.0.4 > 192.145.117.100: ICMP echo request, id 1218, seq 18, length 64
