07:12:19.876463 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 2, length 64
07:12:20.397096 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 2, length 64
07:12:20.876827 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 3, length 64
07:12:21.400313 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 3, length 64
07:12:21.877045 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 4, length 64
07:12:22.476823 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 4, length 64
07:12:22.877466 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 5, length 64
07:12:23.397886 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 5, length 64
07:12:23.877583 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 6, length 64
07:12:24.398250 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 6, length 64
07:12:24.877973 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 7, length 64
07:12:25.398779 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 7, length 64
07:12:25.878475 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 8, length 64
07:12:26.399092 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 8, length 64
07:12:26.878770 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 9, length 64
07:12:27.399466 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 9, length 64
07:12:27.879187 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 10, length 64
07:12:28.399720 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 10, length 64
07:12:28.879440 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 11, length 64
07:12:29.400080 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 11, length 64
07:12:29.879763 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 12, length 64
07:12:30.400520 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 12, length 64
07:12:30.880243 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 631, seq 13, length 64
07:12:31.400760 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 631, seq 13, length 64
