07:00:48.453498 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 1, length 64
07:00:48.835269 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 1, length 64
07:00:49.664679 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 2, length 64
07:00:50.052345 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 2, length 64
07:00:50.665170 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 3, length 64
07:00:51.047185 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 3, length 64
07:00:51.665048 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 4, length 64
07:00:52.058903 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 4, length 64
07:00:52.664753 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 5, length 64
07:00:53.046726 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 5, length 64
07:00:53.664594 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 6, length 64
07:00:54.062482 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 6, length 64
07:00:54.664328 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 7, length 64
07:00:55.061004 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 7, length 64
07:00:55.664566 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 8, length 64
07:00:56.046411 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 8, length 64
07:00:56.664272 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 9, length 64
07:00:57.049060 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 9, length 64
07:00:57.664922 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 10, length 64
07:00:58.054766 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 10, length 64
07:00:58.664620 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 11, length 64
07:00:59.062291 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 11, length 64
07:00:59.665146 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 12, length 64
07:01:00.049800 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 12, length 64
07:01:00.665674 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 13, length 64
07:01:01.047823 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 13, length 64
07:01:01.665686 IP 10.8.3.8 > 185.106.102.201: ICMP echo request, id 590, seq 14, length 64
07:01:02.063221 IP 185.106.102.201 > 10.8.3.8: ICMP echo reply, id 590, seq 14, length 64
