06:58:43.464444 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 2, length 64
06:58:43.989209 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 3, length 64
06:58:44.464970 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 3, length 64
06:58:44.989765 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 4, length 64
06:58:45.465759 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 4, length 64
06:58:45.989532 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 5, length 64
06:58:46.465321 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 5, length 64
06:58:46.990079 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 6, length 64
06:58:47.466030 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 6, length 64
06:58:47.989786 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 7, length 64
06:58:48.465590 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 7, length 64
06:58:48.990345 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 8, length 64
06:58:49.466189 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 8, length 64
06:58:49.989947 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 9, length 64
06:58:50.465807 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 9, length 64
06:58:50.989562 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 10, length 64
06:58:51.465355 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 10, length 64
06:58:51.990128 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 11, length 64
06:58:52.466050 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 11, length 64
06:58:52.989808 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 12, length 64
06:58:53.465579 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 12, length 64
06:58:53.990335 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 13, length 64
06:58:54.466156 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 13, length 64
06:58:54.990910 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 14, length 64
06:58:55.466686 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 14, length 64
06:58:55.991445 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 15, length 64
06:58:56.469502 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 15, length 64
06:58:56.991258 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 16, length 64
06:58:57.467012 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 16, length 64
06:58:57.991769 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 17, length 64
06:58:58.467813 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 17, length 64
06:58:58.991565 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 18, length 64
06:58:59.467486 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 18, length 64
06:58:59.991238 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 19, length 64
06:59:00.467117 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 19, length 64
06:59:00.990873 IP 10.8.3.8 > 185.245.87.59: ICMP echo request, id 579, seq 20, length 64
06:59:01.466670 IP 185.245.87.59 > 10.8.3.8: ICMP echo reply, id 579, seq 20, length 64
