14:31:01.610388 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 3, length 64
14:31:01.900959 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 3, length 64
14:31:02.611856 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 4, length 64
14:31:02.886124 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 4, length 64
14:31:03.613102 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 5, length 64
14:31:03.896317 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 5, length 64
14:31:04.614265 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 6, length 64
14:31:04.894307 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 6, length 64
14:31:05.615257 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 7, length 64
14:31:05.894310 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 7, length 64
14:31:06.616273 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 8, length 64
14:31:06.896770 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 8, length 64
14:31:07.617733 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 9, length 64
14:31:07.900977 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 9, length 64
14:31:08.618935 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 10, length 64
14:31:08.902220 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 10, length 64
14:31:09.620178 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 11, length 64
14:31:09.906237 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 11, length 64
14:31:10.621190 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 12, length 64
14:31:10.898624 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 12, length 64
14:31:11.622578 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 13, length 64
14:31:11.892480 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 13, length 64
14:31:12.623426 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 14, length 64
14:31:12.893293 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 14, length 64
14:31:13.624249 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 15, length 64
14:31:13.894072 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 15, length 64
14:31:14.626029 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 16, length 64
14:31:14.902532 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 16, length 64
14:31:15.627247 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 17, length 64
14:31:15.897183 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 17, length 64
14:31:16.628151 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 18, length 64
14:31:16.898133 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 18, length 64
14:31:17.629091 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 19, length 64
14:31:17.898910 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 19, length 64
14:31:18.630870 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 20, length 64
14:31:18.900768 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 20, length 64
14:31:19.631246 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 21, length 64
14:31:19.906089 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 21, length 64
14:31:20.632054 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 22, length 64
14:31:20.901934 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 22, length 64
14:31:21.632907 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 23, length 64
14:31:21.902609 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 23, length 64
14:31:22.634578 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 24, length 64
14:31:22.904517 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 24, length 64
14:31:23.635252 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 25, length 64
14:31:23.905785 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 25, length 64
14:31:24.636705 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 26, length 64
14:31:24.906418 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 26, length 64
14:31:25.638335 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 27, length 64
14:31:25.907979 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 27, length 64
14:31:26.639243 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 28, length 64
14:31:26.909237 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 28, length 64
14:31:27.640159 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 29, length 64
14:31:27.909807 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 29, length 64
14:31:28.641725 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 30, length 64
14:31:28.911452 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 30, length 64
14:31:29.643250 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 31, length 64
14:31:29.913223 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 31, length 64
14:31:30.644143 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 32, length 64
14:31:30.914041 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 21, seq 32, length 64
14:31:31.644960 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 21, seq 33, length 64
