14:39:23.069761 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 2, length 64
14:39:23.556487 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 3, length 64
14:39:24.071542 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 3, length 64
14:39:24.556291 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 4, length 64
14:39:25.107751 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 4, length 64
14:39:25.556451 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 5, length 64
14:39:26.070226 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 5, length 64
14:39:26.556928 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 6, length 64
14:39:27.070281 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 6, length 64
14:39:27.556989 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 7, length 64
14:39:28.074374 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 7, length 64
14:39:28.557076 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 8, length 64
14:39:29.070775 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 8, length 64
14:39:29.557484 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 9, length 64
14:39:30.070648 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 9, length 64
14:39:30.557357 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 10, length 64
14:39:31.135695 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 10, length 64
14:39:31.557335 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 11, length 64
14:39:32.073510 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 11, length 64
14:39:32.557226 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 12, length 64
14:39:33.070491 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 12, length 64
14:39:33.557207 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 13, length 64
14:39:34.070768 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 13, length 64
14:39:34.557474 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 14, length 64
14:39:35.078722 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 14, length 64
14:39:35.557432 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 15, length 64
14:39:36.078962 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 15, length 64
14:39:36.557657 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 16, length 64
14:39:37.074810 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 16, length 64
14:39:37.557515 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 17, length 64
14:39:38.080442 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 17, length 64
14:39:38.557131 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 18, length 64
14:39:39.070836 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 18, length 64
14:39:39.557543 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 19, length 64
14:39:40.074269 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 19, length 64
14:39:40.557970 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 20, length 64
14:39:41.101475 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 20, length 64
14:39:41.558148 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 21, length 64
14:39:42.073885 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 21, length 64
14:39:42.558588 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 22, length 64
14:39:43.071963 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 22, length 64
14:39:43.558680 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 23, length 64
14:39:44.078605 IP 103.62.49.193 > 10.8.0.5: ICMP echo reply, id 53, seq 23, length 64
14:39:44.558301 IP 10.8.0.5 > 103.62.49.193: ICMP echo request, id 53, seq 24, length 64
