10:15:43.053438 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 2, length 64
10:15:43.358835 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 2, length 64
10:15:44.054780 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 3, length 64
10:15:44.360311 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 3, length 64
10:15:45.056277 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 4, length 64
10:15:45.361286 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 4, length 64
10:15:46.057217 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 5, length 64
10:15:46.363145 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 5, length 64
10:15:47.058077 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 6, length 64
10:15:47.363199 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 6, length 64
10:15:48.059143 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 7, length 64
10:15:48.365802 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 7, length 64
10:15:49.060744 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 8, length 64
10:15:49.399743 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 8, length 64
10:15:50.061646 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 9, length 64
10:15:50.370758 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 9, length 64
10:15:51.062696 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 10, length 64
10:15:51.368050 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 10, length 64
10:15:52.063988 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 11, length 64
10:15:52.368990 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 11, length 64
10:15:53.064923 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 12, length 64
10:15:53.370468 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 12, length 64
10:15:54.066406 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 13, length 64
10:15:54.373037 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 13, length 64
10:15:55.067969 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 14, length 64
10:15:55.372905 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 14, length 64
10:15:56.068839 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 15, length 64
10:15:56.373744 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 15, length 64
10:15:57.069650 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 16, length 64
10:15:57.374903 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 16, length 64
10:15:58.070804 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 17, length 64
10:15:58.375616 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 17, length 64
10:15:59.072521 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 18, length 64
10:15:59.379827 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 18, length 64
10:16:00.073737 IP 10.8.0.6 > 82.102.20.236: ICMP echo request, id 1314, seq 19, length 64
10:16:00.380219 IP 82.102.20.236 > 10.8.0.6: ICMP echo reply, id 1314, seq 19, length 64
