10:00:25.557234 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 2, length 64
10:00:25.784206 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 2, length 64
10:00:26.558235 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 3, length 64
10:00:26.786340 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 3, length 64
10:00:27.559363 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 4, length 64
10:00:27.786760 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 4, length 64
10:00:28.560780 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 5, length 64
10:00:28.788553 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 5, length 64
10:00:29.562557 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 6, length 64
10:00:29.789710 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 6, length 64
10:00:30.563731 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 7, length 64
10:00:30.791411 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 7, length 64
10:00:31.565414 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 8, length 64
10:00:31.792816 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 8, length 64
10:00:32.566832 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 9, length 64
10:00:32.793953 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 9, length 64
10:00:33.567959 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 10, length 64
10:00:33.795180 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 10, length 64
10:00:34.569194 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 11, length 64
10:00:34.796581 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 11, length 64
10:00:35.570593 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 12, length 64
10:00:35.798591 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 12, length 64
10:00:36.571594 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 13, length 64
10:00:36.799450 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 13, length 64
10:00:37.572441 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 14, length 64
10:00:37.799652 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 14, length 64
10:00:38.573650 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 15, length 64
10:00:38.800653 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 15, length 64
10:00:39.574655 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 16, length 64
10:00:39.801869 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 16, length 64
10:00:40.575875 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 17, length 64
10:00:40.803162 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 17, length 64
10:00:41.577155 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 18, length 64
10:00:41.804958 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 18, length 64
10:00:42.578950 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 19, length 64
10:00:42.806627 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 19, length 64
10:00:43.580625 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 20, length 64
10:00:43.807849 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 20, length 64
10:00:44.581843 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 21, length 64
10:00:44.809090 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 21, length 64
10:00:45.583093 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 22, length 64
10:00:45.810317 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 22, length 64
10:00:46.584311 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 23, length 64
10:00:46.811774 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 23, length 64
10:00:47.585789 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 24, length 64
10:00:47.812979 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 24, length 64
10:00:48.586988 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 25, length 64
10:00:48.814801 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 25, length 64
10:00:49.588809 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 26, length 64
10:00:49.816382 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 26, length 64
10:00:50.590400 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 27, length 64
10:00:50.817907 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 27, length 64
10:00:51.591921 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 28, length 64
10:00:51.819335 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 28, length 64
10:00:52.593334 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 29, length 64
10:00:52.821146 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 29, length 64
10:00:53.595150 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 30, length 64
10:00:53.822610 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 30, length 64
10:00:54.596614 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 31, length 64
10:00:54.823798 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 31, length 64
10:00:55.597803 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 32, length 64
10:00:55.825237 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 32, length 64
10:00:56.599247 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 33, length 64
10:00:56.826647 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 33, length 64
10:00:57.600656 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 34, length 64
10:00:57.828313 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 34, length 64
10:00:58.602318 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 35, length 64
10:00:58.830557 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 35, length 64
10:00:59.603562 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 36, length 64
10:00:59.830972 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 36, length 64
10:01:00.604977 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 37, length 64
10:01:00.832626 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 37, length 64
10:01:01.606631 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 38, length 64
10:01:01.834853 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 38, length 64
10:01:02.607867 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 39, length 64
10:01:02.835479 IP 217.138.197.75 > 10.8.2.4: ICMP echo reply, id 1256, seq 39, length 64
10:01:03.609494 IP 10.8.2.4 > 217.138.197.75: ICMP echo request, id 1256, seq 40, length 64
