10:10:32.267082 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 1, length 64
10:10:33.952399 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 2, length 64
10:10:34.037748 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 2, length 64
10:10:34.952914 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 3, length 64
10:10:35.038134 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 3, length 64
10:10:35.953278 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 4, length 64
10:10:36.038145 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 4, length 64
10:10:36.953290 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 5, length 64
10:10:37.085166 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 5, length 64
10:10:37.953273 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 6, length 64
10:10:38.080142 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 6, length 64
10:10:38.953249 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 7, length 64
10:10:39.038033 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 7, length 64
10:10:39.954210 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 8, length 64
10:10:40.039063 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 8, length 64
10:10:40.954209 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 9, length 64
10:10:41.038887 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 9, length 64
10:10:41.955032 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 10, length 64
10:10:42.039894 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 10, length 64
10:10:42.955040 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 11, length 64
10:10:43.039680 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 11, length 64
10:10:43.955829 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 12, length 64
10:10:44.040898 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 12, length 64
10:10:44.956041 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 13, length 64
10:10:45.041024 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 13, length 64
10:10:45.956182 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 14, length 64
10:10:46.041167 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 14, length 64
10:10:46.956323 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 15, length 64
10:10:47.041415 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 15, length 64
10:10:47.956554 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 16, length 64
10:10:48.041423 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 16, length 64
10:10:48.956560 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 17, length 64
10:10:49.041247 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 17, length 64
10:10:49.957387 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 18, length 64
10:10:50.042028 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 18, length 64
10:10:50.958195 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 19, length 64
10:10:51.042888 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 19, length 64
10:10:51.959035 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 20, length 64
10:10:52.047081 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 1298, seq 20, length 64
10:10:52.959223 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 1298, seq 21, length 64
