09:56:22.221623 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 1, length 64
09:56:23.149509 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 2, length 64
09:56:23.448114 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 2, length 64
09:56:24.151072 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 3, length 64
09:56:24.449852 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 3, length 64
09:56:25.152800 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 4, length 64
09:56:25.451368 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 4, length 64
09:56:26.154210 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 5, length 64
09:56:26.453225 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 5, length 64
09:56:27.155154 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 6, length 64
09:56:27.453814 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 6, length 64
09:56:28.156756 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 7, length 64
09:56:28.455315 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 7, length 64
09:56:29.158203 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 8, length 64
09:56:29.456725 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 8, length 64
09:56:30.159654 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 9, length 64
09:56:30.458572 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 9, length 64
09:56:31.160512 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 10, length 64
09:56:31.459160 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 10, length 64
09:56:32.162093 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 11, length 64
09:56:32.460464 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 11, length 64
09:56:33.163396 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 12, length 64
09:56:33.462081 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 12, length 64
09:56:34.165057 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 13, length 64
09:56:34.463388 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 13, length 64
09:56:35.166169 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 14, length 64
09:56:35.467196 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 14, length 64
09:56:36.167089 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 15, length 64
09:56:36.465610 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 15, length 64
09:56:37.168541 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 16, length 64
09:56:37.466936 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 16, length 64
09:56:38.169868 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 17, length 64
09:56:38.468438 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 17, length 64
09:56:39.171365 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 18, length 64
09:56:39.469951 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 18, length 64
09:56:40.172877 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 19, length 64
09:56:40.471389 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 19, length 64
09:56:41.174204 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 20, length 64
09:56:41.472631 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 20, length 64
09:56:42.175563 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 21, length 64
09:56:42.474430 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 21, length 64
09:56:43.176361 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 22, length 64
09:56:43.475091 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 22, length 64
09:56:44.178024 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 23, length 64
09:56:44.476953 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 23, length 64
09:56:45.178882 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 24, length 64
09:56:45.477426 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 24, length 64
09:56:46.180367 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 25, length 64
09:56:46.478801 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 25, length 64
09:56:47.181734 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 26, length 64
09:56:47.482495 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 26, length 64
09:56:48.183422 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 27, length 64
09:56:48.481907 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 27, length 64
09:56:49.184855 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 28, length 64
09:56:49.483573 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 28, length 64
09:56:50.186201 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 29, length 64
09:56:50.484778 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 29, length 64
09:56:51.187710 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 30, length 64
09:56:51.486016 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 30, length 64
09:56:52.188964 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 31, length 64
09:56:52.487900 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 31, length 64
09:56:53.189831 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 32, length 64
09:56:53.488125 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 32, length 64
09:56:54.191057 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 33, length 64
09:56:54.489522 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 33, length 64
09:56:55.192425 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 34, length 64
09:56:55.490814 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 34, length 64
09:56:56.193717 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 35, length 64
09:56:56.492027 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 35, length 64
09:56:57.194931 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 36, length 64
09:56:57.493477 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 36, length 64
09:56:58.196381 IP 10.8.2.4 > 45.35.204.2: ICMP echo request, id 1242, seq 37, length 64
09:56:58.494701 IP 45.35.204.2 > 10.8.2.4: ICMP echo reply, id 1242, seq 37, length 64
