10:50:11.022622 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 1, length 64
10:50:11.399211 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 1, length 64
10:50:12.429492 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 2, length 64
10:50:12.806243 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 2, length 64
10:50:13.431096 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 3, length 64
10:50:13.807818 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 3, length 64
10:50:14.432669 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 4, length 64
10:50:14.809748 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 4, length 64
10:50:15.433594 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 5, length 64
10:50:15.810668 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 5, length 64
10:50:16.434531 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 6, length 64
10:50:16.811208 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 6, length 64
10:50:17.436056 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 7, length 64
10:50:17.813000 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 7, length 64
10:50:18.436858 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 8, length 64
10:50:18.813453 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 8, length 64
10:50:19.438312 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 9, length 64
10:50:19.814849 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 9, length 64
10:50:20.439707 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 10, length 64
10:50:20.816304 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 10, length 64
10:50:21.441160 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 11, length 64
10:50:21.817611 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 11, length 64
10:50:22.442459 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 12, length 64
10:50:22.820476 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 12, length 64
10:50:23.443323 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 13, length 64
10:50:23.819857 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 13, length 64
10:50:24.444707 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 14, length 64
10:50:24.821496 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 14, length 64
10:50:25.446207 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 15, length 64
10:50:25.822926 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1446, seq 15, length 64
10:50:26.447770 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1446, seq 16, length 64
