10:40:48.210389 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 1, length 64
10:40:48.562868 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 1, length 64
10:40:49.209971 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 2, length 64
10:40:49.562161 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 2, length 64
10:40:50.211024 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 3, length 64
10:40:50.563648 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 3, length 64
10:40:51.212542 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 4, length 64
10:40:51.564551 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 4, length 64
10:40:52.213437 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 5, length 64
10:40:52.563473 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 5, length 64
10:40:53.214323 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 6, length 64
10:40:53.566656 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 6, length 64
10:40:54.215545 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 7, length 64
10:40:54.565494 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 7, length 64
10:40:55.216383 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 8, length 64
10:40:55.569306 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 8, length 64
10:40:56.217203 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 9, length 64
10:40:56.567378 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 9, length 64
10:40:57.218282 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 10, length 64
10:40:57.571363 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 10, length 64
10:40:58.219242 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 11, length 64
10:40:58.571732 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 11, length 64
10:40:59.220621 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 12, length 64
10:40:59.572950 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 12, length 64
10:41:00.221835 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 13, length 64
10:41:00.573241 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 13, length 64
10:41:01.223123 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 14, length 64
10:41:01.575528 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 14, length 64
10:41:02.224418 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 15, length 64
10:41:02.577002 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 15, length 64
10:41:03.225887 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 16, length 64
10:41:03.577550 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 16, length 64
10:41:04.227434 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 17, length 64
10:41:04.577401 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 17, length 64
10:41:05.228285 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 18, length 64
10:41:05.581207 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 18, length 64
10:41:06.229094 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 19, length 64
10:41:06.581795 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 19, length 64
10:41:07.230642 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 20, length 64
10:41:07.582598 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 20, length 64
10:41:08.231480 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 21, length 64
10:41:08.583092 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 21, length 64
10:41:09.232995 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 22, length 64
10:41:09.585843 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 22, length 64
10:41:10.233727 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 23, length 64
10:41:10.586233 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 23, length 64
10:41:11.235123 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 24, length 64
10:41:11.587686 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 24, length 64
10:41:12.236586 IP 10.8.2.5 > 185.106.102.201: ICMP echo request, id 1410, seq 25, length 64
10:41:12.586349 IP 185.106.102.201 > 10.8.2.5: ICMP echo reply, id 1410, seq 25, length 64
