10:38:43.149907 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 1, length 64
10:38:43.467340 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 1, length 64
10:38:44.624889 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 2, length 64
10:38:44.942550 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 2, length 64
10:38:45.626486 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 3, length 64
10:38:45.944161 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 3, length 64
10:38:46.628092 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 4, length 64
10:38:46.945362 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 4, length 64
10:38:47.629309 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 5, length 64
10:38:47.946772 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 5, length 64
10:38:48.630709 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 6, length 64
10:38:48.948415 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 6, length 64
10:38:49.632346 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 7, length 64
10:38:49.950374 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 7, length 64
10:38:50.633307 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 8, length 64
10:38:50.950583 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 8, length 64
10:38:51.634514 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 9, length 64
10:38:52.638216 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 10, length 64
10:38:53.662232 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 11, length 64
10:38:53.980054 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 11, length 64
10:38:54.662982 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 12, length 64
10:38:54.981025 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 12, length 64
10:38:55.663950 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 13, length 64
10:38:55.981697 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 13, length 64
10:38:56.665629 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 14, length 64
10:38:56.983275 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 14, length 64
10:38:57.667200 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 15, length 64
10:38:57.984883 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 15, length 64
10:38:58.668814 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 16, length 64
10:38:58.986474 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 16, length 64
10:38:59.670402 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 17, length 64
10:38:59.987830 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 17, length 64
10:39:00.671762 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 18, length 64
10:39:00.989083 IP 89.238.186.244 > 10.8.2.5: ICMP echo reply, id 1402, seq 18, length 64
10:39:01.673004 IP 10.8.2.5 > 89.238.186.244: ICMP echo request, id 1402, seq 19, length 64
