10:48:05.963747 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 1, length 64
10:48:06.261303 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 1, length 64
10:48:06.963782 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 2, length 64
10:48:07.261510 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 2, length 64
10:48:07.964455 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 3, length 64
10:48:08.262311 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 3, length 64
10:48:08.964247 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 4, length 64
10:48:09.261938 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 4, length 64
10:48:09.964881 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 5, length 64
10:48:10.262605 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 5, length 64
10:48:10.965559 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 6, length 64
10:48:11.263371 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 6, length 64
10:48:11.966318 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 7, length 64
10:48:12.265031 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 7, length 64
10:48:12.966975 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 8, length 64
10:48:13.264832 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 8, length 64
10:48:13.966780 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 9, length 64
10:48:14.264658 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 9, length 64
10:48:14.966612 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 10, length 64
10:48:15.264606 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 10, length 64
10:48:15.966564 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 11, length 64
10:48:16.263970 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 11, length 64
10:48:16.966918 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 12, length 64
10:48:17.265100 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 12, length 64
10:48:17.967042 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 13, length 64
10:48:18.264909 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 13, length 64
10:48:18.966861 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 14, length 64
10:48:19.264639 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 14, length 64
10:48:19.967586 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 15, length 64
10:48:20.265264 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 15, length 64
10:48:20.968221 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 16, length 64
10:48:21.265829 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 16, length 64
10:48:21.968771 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 17, length 64
10:48:22.266497 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 17, length 64
10:48:22.969436 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 18, length 64
10:48:23.266953 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 18, length 64
10:48:23.969892 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 19, length 64
10:48:24.267491 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 19, length 64
10:48:24.970425 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 20, length 64
10:48:25.268107 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 20, length 64
10:48:25.971041 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 21, length 64
10:48:26.268723 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 21, length 64
10:48:26.971658 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 22, length 64
10:48:27.269544 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 22, length 64
10:48:27.971479 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 23, length 64
10:48:28.269179 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 23, length 64
10:48:28.972122 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 24, length 64
10:48:29.269777 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 24, length 64
10:48:29.972726 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 25, length 64
10:48:30.270562 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 25, length 64
10:48:30.972504 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 26, length 64
10:48:31.270197 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 26, length 64
10:48:31.973135 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 27, length 64
10:48:32.270813 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 27, length 64
10:48:32.973763 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 28, length 64
10:48:33.271623 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 28, length 64
10:48:33.973577 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1438, seq 29, length 64
10:48:34.271232 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1438, seq 29, length 64
