10:53:20.670575 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 2, length 64
10:53:21.249718 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 2, length 64
10:53:21.670384 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 3, length 64
10:53:22.242156 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 3, length 64
10:53:22.670840 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 4, length 64
10:53:23.245516 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 4, length 64
10:53:23.671189 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 5, length 64
10:53:24.247256 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 5, length 64
10:53:24.670911 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 6, length 64
10:53:25.247515 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 6, length 64
10:53:25.671170 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 7, length 64
10:53:26.247004 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 7, length 64
10:53:26.670659 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 8, length 64
10:53:27.250507 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 8, length 64
10:53:27.670142 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 9, length 64
10:53:28.246516 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 9, length 64
10:53:28.670082 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 10, length 64
10:53:29.247306 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 10, length 64
10:53:29.669959 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 11, length 64
10:53:30.686202 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 12, length 64
10:53:31.259146 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 12, length 64
10:53:31.685797 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 13, length 64
10:53:32.260583 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 13, length 64
10:53:32.686204 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 14, length 64
10:53:33.262985 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 14, length 64
10:53:33.686643 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 15, length 64
10:53:34.258161 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 15, length 64
10:53:34.686789 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 16, length 64
10:53:35.257795 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 16, length 64
10:53:35.686450 IP 10.8.2.5 > 210.217.18.78: ICMP echo request, id 1456, seq 17, length 64
10:53:36.254616 IP 210.217.18.78 > 10.8.2.5: ICMP echo reply, id 1456, seq 17, length 64
