05:42:47.286451 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 1, length 64
05:42:47.612230 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 1, length 64
05:42:48.339330 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 2, length 64
05:42:48.665092 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 2, length 64
05:42:49.341029 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 3, length 64
05:42:49.666725 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 3, length 64
05:42:50.345179 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 4, length 64
05:42:50.670795 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 4, length 64
05:42:51.346720 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 5, length 64
05:42:51.672372 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 5, length 64
05:42:52.348295 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 6, length 64
05:42:52.673966 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 6, length 64
05:42:53.349916 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 7, length 64
05:42:53.675823 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 7, length 64
05:42:54.350748 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 8, length 64
05:42:54.676476 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 8, length 64
05:42:55.352401 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 9, length 64
05:42:55.677908 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 9, length 64
05:42:56.353830 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 10, length 64
05:42:56.681323 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 10, length 64
05:42:57.355241 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 11, length 64
05:42:57.680736 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 11, length 64
05:42:58.356657 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 12, length 64
05:42:58.682207 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 12, length 64
05:42:59.358135 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 13, length 64
05:42:59.683651 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 13, length 64
05:43:00.359578 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 14, length 64
05:43:00.685407 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 14, length 64
05:43:01.359721 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 15, length 64
05:43:01.685297 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 15, length 64
05:43:02.361208 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 16, length 64
05:43:02.688282 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 16, length 64
05:43:03.362201 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 17, length 64
05:43:03.687760 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 17, length 64
05:43:04.363679 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 18, length 64
05:43:04.689385 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 18, length 64
05:43:05.365306 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 19, length 64
05:43:05.690830 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 19, length 64
05:43:06.366751 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 20, length 64
05:43:06.692450 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 20, length 64
05:43:07.368374 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 21, length 64
05:43:07.694285 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 21, length 64
05:43:08.369200 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 22, length 64
05:43:08.694892 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 22, length 64
05:43:09.370812 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 23, length 64
05:43:09.696339 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 23, length 64
05:43:10.372254 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 24, length 64
05:43:10.697768 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 24, length 64
05:43:11.373688 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 25, length 64
05:43:11.699582 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 25, length 64
05:43:12.374499 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 26, length 64
05:43:12.700050 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 26, length 64
05:43:13.375965 IP 10.8.0.2 > 66.115.145.3: ICMP echo request, id 298, seq 27, length 64
05:43:13.701665 IP 66.115.145.3 > 10.8.0.2: ICMP echo reply, id 298, seq 27, length 64
