05:40:43.439313 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 1, length 64
05:40:43.683491 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 1, length 64
05:40:44.439114 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 2, length 64
05:40:44.683021 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 2, length 64
05:40:45.440050 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 3, length 64
05:40:45.684353 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 3, length 64
05:40:46.441368 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 4, length 64
05:40:46.685347 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 4, length 64
05:40:47.442354 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 5, length 64
05:40:47.686304 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 5, length 64
05:40:48.443309 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 6, length 64
05:40:48.687625 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 6, length 64
05:40:49.444640 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 7, length 64
05:40:49.688460 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 7, length 64
05:40:50.445464 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 8, length 64
05:40:50.689271 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 8, length 64
05:40:51.447278 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 9, length 64
05:40:51.691287 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 9, length 64
05:40:52.448287 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 10, length 64
05:40:52.692173 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 10, length 64
05:40:53.449177 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 11, length 64
05:40:53.693188 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 11, length 64
05:40:54.450207 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 12, length 64
05:40:54.694006 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 12, length 64
05:40:55.452004 IP 10.8.0.2 > 196.240.57.99: ICMP echo request, id 290, seq 13, length 64
05:40:55.696015 IP 196.240.57.99 > 10.8.0.2: ICMP echo reply, id 290, seq 13, length 64
