05:30:18.919569 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 2, length 64
05:30:19.178591 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 2, length 64
05:30:19.919533 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 3, length 64
05:30:20.175448 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 3, length 64
05:30:20.919436 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 4, length 64
05:30:21.177943 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 4, length 64
05:30:21.919926 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 5, length 64
05:30:22.176183 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 5, length 64
05:30:22.920154 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 6, length 64
05:30:23.178353 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 6, length 64
05:30:23.920348 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 7, length 64
05:30:24.926205 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 8, length 64
05:30:25.183011 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 8, length 64
05:30:25.926996 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 9, length 64
05:30:26.182846 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 9, length 64
05:30:26.926837 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 10, length 64
05:30:27.182907 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 10, length 64
05:30:27.926880 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 11, length 64
05:30:28.182737 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 11, length 64
05:30:28.926724 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 12, length 64
05:30:29.182895 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 12, length 64
05:30:29.926892 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 13, length 64
05:30:30.185213 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 13, length 64
05:30:30.927166 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 14, length 64
05:30:31.182838 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 14, length 64
05:30:31.927830 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 15, length 64
05:30:32.185262 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 15, length 64
05:30:32.928252 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 16, length 64
05:30:33.191280 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 16, length 64
05:30:33.928262 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 17, length 64
05:30:34.184149 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 17, length 64
05:30:34.928137 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 18, length 64
05:30:35.186237 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 18, length 64
05:30:35.928221 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 19, length 64
05:30:36.187546 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 19, length 64
05:30:36.928547 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 20, length 64
05:30:37.186792 IP 194.99.105.100 > 10.8.0.2: ICMP echo reply, id 247, seq 20, length 64
05:30:37.928778 IP 10.8.0.2 > 194.99.105.100: ICMP echo request, id 247, seq 21, length 64
