05:48:59.400866 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 2, length 64
05:48:59.681614 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 2, length 64
05:49:00.402217 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 3, length 64
05:49:00.683197 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 3, length 64
05:49:01.403186 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 4, length 64
05:49:01.684440 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 4, length 64
05:49:02.404416 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 5, length 64
05:49:02.685956 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 5, length 64
05:49:03.405935 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 6, length 64
05:49:03.686722 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 6, length 64
05:49:04.407696 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 7, length 64
05:49:04.688520 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 7, length 64
05:49:05.408477 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 8, length 64
05:49:05.689012 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 8, length 64
05:49:06.409960 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 9, length 64
05:49:06.690659 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 9, length 64
05:49:07.411624 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 10, length 64
05:49:07.692287 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 10, length 64
05:49:08.413243 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 11, length 64
05:49:08.694089 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 11, length 64
05:49:09.414066 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 12, length 64
05:49:09.694771 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 12, length 64
05:49:10.415734 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 13, length 64
05:49:10.696555 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 13, length 64
05:49:11.417511 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 14, length 64
05:49:11.698233 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 14, length 64
05:49:12.419181 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 15, length 64
05:49:12.699891 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 15, length 64
05:49:13.420844 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 16, length 64
05:49:13.701503 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 16, length 64
05:49:14.422511 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 17, length 64
05:49:14.703263 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 17, length 64
05:49:15.424223 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 18, length 64
05:49:15.705072 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 18, length 64
05:49:16.425030 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 19, length 64
05:49:16.705819 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 19, length 64
05:49:17.426736 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 20, length 64
05:49:17.707404 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 20, length 64
05:49:18.428374 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 21, length 64
05:49:18.709182 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 21, length 64
05:49:19.430157 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 22, length 64
05:49:19.711561 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 22, length 64
05:49:20.431516 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 23, length 64
05:49:20.712360 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 23, length 64
05:49:21.432312 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 24, length 64
05:49:21.713051 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 24, length 64
05:49:22.434010 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 25, length 64
05:49:22.714667 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 25, length 64
05:49:23.435648 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 26, length 64
05:49:23.716308 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 26, length 64
05:49:24.437265 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 27, length 64
05:49:24.718044 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 27, length 64
05:49:25.438995 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 28, length 64
05:49:25.719692 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 28, length 64
05:49:26.440647 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 29, length 64
05:49:26.721633 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 29, length 64
05:49:27.441587 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 30, length 64
05:49:27.722633 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 30, length 64
05:49:28.442590 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 31, length 64
05:49:28.723387 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 31, length 64
05:49:29.444340 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 32, length 64
05:49:29.724883 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 32, length 64
05:49:30.445839 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 33, length 64
05:49:30.726381 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 33, length 64
05:49:31.447339 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 34, length 64
05:49:31.728143 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 34, length 64
05:49:32.449100 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 35, length 64
05:49:32.729826 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 35, length 64
05:49:33.450765 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 36, length 64
05:49:33.731315 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 321, seq 36, length 64
05:49:34.452266 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 321, seq 37, length 64
