05:34:26.774446 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 1, length 64
05:34:27.113274 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 1, length 64
05:34:28.033384 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 2, length 64
05:34:28.372142 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 2, length 64
05:34:29.035047 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 3, length 64
05:34:29.373326 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 3, length 64
05:34:30.036223 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 4, length 64
05:34:30.374445 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 4, length 64
05:34:31.037341 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 5, length 64
05:34:31.375905 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 5, length 64
05:34:32.038800 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 6, length 64
05:34:32.377327 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 6, length 64
05:34:33.040223 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 7, length 64
05:34:33.378754 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 7, length 64
05:34:34.041647 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 8, length 64
05:34:34.380157 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 8, length 64
05:34:35.043056 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 9, length 64
05:34:35.381639 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 9, length 64
05:34:36.044527 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 10, length 64
05:34:36.382864 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 10, length 64
05:34:37.045758 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 11, length 64
05:34:37.383885 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 11, length 64
05:34:38.046777 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 12, length 64
05:34:38.385227 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 12, length 64
05:34:39.048131 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 13, length 64
05:34:39.386547 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 13, length 64
05:34:40.049439 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 14, length 64
05:34:40.388204 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 14, length 64
05:34:41.051099 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 15, length 64
05:34:41.389459 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 15, length 64
05:34:42.052338 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 16, length 64
05:34:42.392057 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 16, length 64
05:34:43.053947 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 17, length 64
05:34:43.392745 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 17, length 64
05:34:44.055643 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 18, length 64
05:34:44.394129 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 18, length 64
05:34:45.057017 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 19, length 64
05:34:45.395733 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 19, length 64
05:34:46.058628 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 20, length 64
05:34:46.396993 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 20, length 64
05:34:47.059885 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 21, length 64
05:34:47.398213 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 21, length 64
05:34:48.061121 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 22, length 64
05:34:48.399427 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 22, length 64
05:34:49.062210 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 23, length 64
05:34:49.400358 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 23, length 64
05:34:50.063258 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 24, length 64
05:34:50.402161 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 24, length 64
05:34:51.064030 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 25, length 64
05:34:51.402387 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 25, length 64
05:34:52.065289 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 26, length 64
05:34:52.403854 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 26, length 64
05:34:53.066759 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 27, length 64
05:34:53.405150 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 27, length 64
05:34:54.068048 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 28, length 64
05:34:54.406664 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 28, length 64
05:34:55.069567 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 29, length 64
05:34:55.407900 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 29, length 64
05:34:56.070802 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 30, length 64
05:34:56.409330 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 30, length 64
05:34:57.072221 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 31, length 64
05:34:57.410926 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 31, length 64
05:34:58.073818 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 32, length 64
05:34:58.412658 IP 104.237.193.147 > 10.8.0.2: ICMP echo reply, id 266, seq 32, length 64
05:34:59.074563 IP 10.8.0.2 > 104.237.193.147: ICMP echo request, id 266, seq 33, length 64
