21:15:50.217653 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 1, length 64
21:15:58.331292 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 2, length 64
21:15:58.657714 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 2, length 64
21:15:59.332145 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 3, length 64
21:15:59.661822 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 3, length 64
21:16:00.333716 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 4, length 64
21:16:00.660660 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 4, length 64
21:16:01.333872 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 5, length 64
21:16:01.664113 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 5, length 64
21:16:02.334674 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 6, length 64
21:16:02.668361 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 6, length 64
21:16:03.336262 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 7, length 64
21:16:03.666191 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 7, length 64
21:16:04.337092 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 8, length 64
21:16:04.670856 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 8, length 64
21:16:05.338716 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 9, length 64
21:16:06.363252 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 10, length 64
21:16:06.691983 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 10, length 64
21:16:07.364887 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 11, length 64
21:16:07.697839 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 11, length 64
21:16:08.365750 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 12, length 64
21:16:08.701040 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 12, length 64
21:16:09.366942 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 13, length 64
21:16:09.694413 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 13, length 64
21:16:10.368328 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 14, length 64
21:16:10.705601 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 14, length 64
21:16:11.369505 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 15, length 64
21:16:11.707852 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 15, length 64
21:16:12.370754 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 16, length 64
21:16:12.709505 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 16, length 64
21:16:13.372415 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 17, length 64
21:16:13.699287 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 17, length 64
21:16:14.373198 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 18, length 64
21:16:14.699438 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 18, length 64
21:16:15.374350 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 19, length 64
21:16:15.702468 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 19, length 64
21:16:16.375383 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 20, length 64
21:16:16.701544 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 20, length 64
21:16:17.376461 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 21, length 64
21:16:17.705186 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 21, length 64
21:16:18.378110 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 22, length 64
21:16:18.714290 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 22, length 64
21:16:19.379208 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 23, length 64
21:16:19.705723 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 23, length 64
21:16:20.380639 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 24, length 64
21:16:20.712355 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 24, length 64
21:16:21.382265 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 25, length 64
21:16:21.709000 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 25, length 64
21:16:22.383914 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 26, length 64
21:16:22.716429 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 26, length 64
21:16:23.385330 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 27, length 64
21:16:23.725133 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 27, length 64
21:16:24.387036 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 28, length 64
21:16:24.728181 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 28, length 64
21:16:25.388079 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 29, length 64
21:16:25.729339 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 29, length 64
21:16:26.389235 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 30, length 64
21:16:27.419260 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 31, length 64
21:16:27.754342 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 31, length 64
21:16:28.420248 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 32, length 64
21:16:28.766166 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 32, length 64
21:16:29.421059 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 33, length 64
21:16:29.749060 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 33, length 64
21:16:30.421966 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 34, length 64
21:16:30.754247 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 34, length 64
21:16:31.423165 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 35, length 64
21:16:31.827928 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 35, length 64
21:16:32.424754 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 36, length 64
21:16:32.754807 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 36, length 64
21:16:33.425716 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 37, length 64
21:16:33.786271 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 37, length 64
21:16:34.427173 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 38, length 64
21:16:34.760852 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 38, length 64
21:16:35.428743 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 39, length 64
21:16:35.766559 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 39, length 64
21:16:36.430445 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 40, length 64
21:16:36.758784 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 40, length 64
21:16:37.431688 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 41, length 64
21:16:37.763344 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 41, length 64
21:16:38.433259 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 42, length 64
21:16:38.759905 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 42, length 64
21:16:39.434821 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 43, length 64
21:16:39.762197 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 43, length 64
21:16:40.436109 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 44, length 64
21:16:40.762892 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 44, length 64
21:16:41.437816 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 45, length 64
21:16:41.768434 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 45, length 64
21:16:42.439353 IP 10.8.3.2 > 192.154.196.13: ICMP echo request, id 1539, seq 46, length 64
21:16:42.766384 IP 192.154.196.13 > 10.8.3.2: ICMP echo reply, id 1539, seq 46, length 64
