21:03:27.845438 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 1, length 64
21:03:29.533460 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 2, length 64
21:03:29.811872 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 2, length 64
21:03:30.534847 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 3, length 64
21:03:30.816817 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 3, length 64
21:03:31.535778 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 4, length 64
21:03:31.813450 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 4, length 64
21:03:32.537408 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 5, length 64
21:03:32.811693 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 5, length 64
21:03:33.538658 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 6, length 64
21:03:33.823450 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 6, length 64
21:03:34.540402 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 7, length 64
21:03:34.893888 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 7, length 64
21:03:35.541768 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 8, length 64
21:03:36.571243 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 9, length 64
21:03:36.851092 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 9, length 64
21:03:37.572048 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 10, length 64
21:03:37.849114 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 10, length 64
21:03:38.573081 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 11, length 64
21:03:38.853570 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 11, length 64
21:03:39.574523 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 12, length 64
21:03:39.850179 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 12, length 64
21:03:40.576141 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 13, length 64
21:03:40.852943 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 13, length 64
21:03:41.577901 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 14, length 64
21:03:41.860301 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 14, length 64
21:03:42.579271 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 15, length 64
21:03:42.850934 IP 217.23.2.31 > 10.8.3.2: ICMP echo reply, id 1490, seq 15, length 64
21:03:43.580898 IP 10.8.3.2 > 217.23.2.31: ICMP echo request, id 1490, seq 16, length 64
