21:04:28.964219 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 1, length 64
21:04:29.321468 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 1, length 64
21:04:31.519675 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 2, length 64
21:04:32.539263 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 3, length 64
21:04:32.856949 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 3, length 64
21:04:33.540870 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 4, length 64
21:04:33.838921 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 4, length 64
21:04:34.541860 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 5, length 64
21:04:34.841340 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 5, length 64
21:04:35.543244 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 6, length 64
21:04:35.837581 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 6, length 64
21:04:36.544527 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 7, length 64
21:04:36.851601 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 7, length 64
21:04:37.545532 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 8, length 64
21:04:37.860327 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 8, length 64
21:04:38.547248 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 9, length 64
21:04:38.861207 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 9, length 64
21:04:39.548123 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 10, length 64
21:04:39.842170 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 10, length 64
21:04:40.549116 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 11, length 64
21:04:40.849959 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 11, length 64
21:04:41.549899 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 12, length 64
21:04:41.851436 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 12, length 64
21:04:42.551257 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 13, length 64
21:04:43.579258 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 14, length 64
21:04:43.882182 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 14, length 64
21:04:44.580107 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 15, length 64
21:04:44.923238 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 15, length 64
21:04:45.581131 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 16, length 64
21:04:45.887448 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 16, length 64
21:04:46.582376 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 17, length 64
21:04:47.611267 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 18, length 64
21:04:47.905006 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 18, length 64
21:04:48.612944 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 19, length 64
21:04:48.925972 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 19, length 64
21:04:49.613890 IP 10.8.3.2 > 104.237.193.147: ICMP echo request, id 1495, seq 20, length 64
21:04:49.918826 IP 104.237.193.147 > 10.8.3.2: ICMP echo reply, id 1495, seq 20, length 64
