00:08:11.329906 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 2, length 64
00:08:11.672854 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 2, length 64
00:08:12.330765 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 3, length 64
00:08:12.674155 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 3, length 64
00:08:13.332055 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 4, length 64
00:08:13.675086 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 4, length 64
00:08:14.332984 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 5, length 64
00:08:14.675891 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 5, length 64
00:08:15.333773 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 6, length 64
00:08:15.676927 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 6, length 64
00:08:16.334808 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 7, length 64
00:08:16.678017 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 7, length 64
00:08:17.335907 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 8, length 64
00:08:17.679066 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 8, length 64
00:08:18.336965 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 9, length 64
00:08:18.680059 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 9, length 64
00:08:19.337939 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 10, length 64
00:08:19.681141 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 10, length 64
00:08:20.339018 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 11, length 64
00:08:20.682107 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 11, length 64
00:08:21.339989 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 12, length 64
00:08:21.683122 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 12, length 64
00:08:22.341017 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 13, length 64
00:08:22.684313 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 13, length 64
00:08:23.342203 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 14, length 64
00:08:23.685260 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 14, length 64
00:08:24.343151 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 15, length 64
00:08:24.686296 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 15, length 64
00:08:25.344189 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 16, length 64
00:08:25.687336 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 16, length 64
00:08:26.345227 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 17, length 64
00:08:26.688693 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 17, length 64
00:08:27.346590 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 18, length 64
00:08:27.689625 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 18, length 64
00:08:28.347519 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 19, length 64
00:08:28.691089 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 19, length 64
00:08:29.348987 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 20, length 64
00:08:29.692178 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 20, length 64
00:08:30.350071 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 21, length 64
00:08:30.693199 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 21, length 64
00:08:31.351089 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 22, length 64
00:08:31.694401 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 22, length 64
00:08:32.352292 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 23, length 64
00:08:32.695420 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 23, length 64
00:08:33.353314 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 24, length 64
00:08:33.696261 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 24, length 64
00:08:34.354160 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 25, length 64
00:08:34.697675 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 25, length 64
00:08:35.355567 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 26, length 64
00:08:35.698572 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 26, length 64
00:08:36.356467 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 27, length 64
00:08:36.699374 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 27, length 64
00:08:37.357266 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 28, length 64
00:08:37.700471 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 28, length 64
00:08:38.358366 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 29, length 64
00:08:38.701670 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 29, length 64
00:08:39.359566 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 30, length 64
00:08:39.702941 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 30, length 64
00:08:40.360835 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 31, length 64
00:08:40.703955 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 31, length 64
00:08:41.361848 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 32, length 64
00:08:41.705583 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 32, length 64
00:08:42.363466 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 33, length 64
00:08:42.706807 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 33, length 64
00:08:43.364705 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 34, length 64
00:08:43.707863 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 34, length 64
00:08:44.365762 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 35, length 64
00:08:44.709034 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 35, length 64
00:08:45.366934 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 36, length 64
00:08:45.711272 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 36, length 64
00:08:46.368161 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 37, length 64
00:08:46.711565 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 37, length 64
00:08:47.369457 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 38, length 64
00:08:47.712618 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 38, length 64
00:08:48.370513 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 39, length 64
00:08:48.714312 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 39, length 64
00:08:49.372205 IP 10.8.2.6 > 91.239.206.147: ICMP echo request, id 2190, seq 40, length 64
00:08:49.715466 IP 91.239.206.147 > 10.8.2.6: ICMP echo reply, id 2190, seq 40, length 64
