23:58:51.351031 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 2, length 64
23:58:52.065988 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 3, length 64
23:58:52.352171 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 3, length 64
23:58:53.067154 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 4, length 64
23:58:53.363695 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 4, length 64
23:58:54.068653 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 5, length 64
23:58:54.355090 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 5, length 64
23:58:55.070032 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 6, length 64
23:58:55.355870 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 6, length 64
23:58:56.071807 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 7, length 64
23:58:56.358724 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 7, length 64
23:58:57.072664 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 8, length 64
23:58:57.358741 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 8, length 64
23:58:58.073687 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 9, length 64
23:58:58.363776 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 9, length 64
23:58:59.074713 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 10, length 64
23:58:59.361360 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 10, length 64
23:59:00.076300 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 11, length 64
23:59:00.367240 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 11, length 64
23:59:01.077185 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 12, length 64
23:59:01.363391 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 12, length 64
23:59:02.078327 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 13, length 64
23:59:02.364413 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 13, length 64
23:59:03.079365 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 14, length 64
23:59:03.365598 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 14, length 64
23:59:04.080546 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 15, length 64
23:59:04.366459 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 15, length 64
23:59:05.081410 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 16, length 64
23:59:05.383303 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 16, length 64
23:59:06.082234 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 17, length 64
23:59:06.368598 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 17, length 64
23:59:07.083542 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 18, length 64
23:59:07.370274 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 18, length 64
23:59:08.085182 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 19, length 64
23:59:08.371520 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 19, length 64
23:59:09.086468 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 20, length 64
23:59:09.372590 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 20, length 64
23:59:10.087539 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 21, length 64
23:59:10.373775 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 21, length 64
23:59:11.088678 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 22, length 64
23:59:11.374768 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 22, length 64
23:59:12.089719 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 23, length 64
23:59:12.394845 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 23, length 64
23:59:13.090781 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 24, length 64
23:59:13.377238 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 24, length 64
23:59:14.092191 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 25, length 64
23:59:14.378103 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 25, length 64
23:59:15.093050 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 26, length 64
23:59:16.123270 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 27, length 64
23:59:16.409273 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 27, length 64
23:59:17.124224 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 28, length 64
23:59:17.410683 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 28, length 64
23:59:18.125632 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 29, length 64
23:59:18.411909 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 29, length 64
23:59:19.126850 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 30, length 64
23:59:19.412954 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 30, length 64
23:59:20.127904 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 31, length 64
23:59:20.413772 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 31, length 64
23:59:21.128722 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 32, length 64
23:59:21.414831 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 32, length 64
23:59:22.129777 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 33, length 64
23:59:22.428030 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 33, length 64
23:59:23.130969 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 34, length 64
23:59:23.417415 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 34, length 64
23:59:24.132361 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 35, length 64
23:59:24.418600 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 35, length 64
23:59:25.133549 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 36, length 64
23:59:25.421656 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 36, length 64
23:59:26.134598 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 37, length 64
23:59:26.420858 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 37, length 64
23:59:27.135808 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 38, length 64
23:59:27.422146 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 38, length 64
23:59:28.137093 IP 10.8.2.6 > 85.10.51.63: ICMP echo request, id 2152, seq 39, length 64
23:59:28.423114 IP 85.10.51.63 > 10.8.2.6: ICMP echo reply, id 2152, seq 39, length 64
