00:09:12.477186 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 1, length 64
00:09:12.902732 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 1, length 64
00:09:18.132906 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 2, length 64
00:09:18.558276 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 2, length 64
00:09:19.134083 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 3, length 64
00:09:19.559186 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 3, length 64
00:09:20.134987 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 4, length 64
00:09:20.560216 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 4, length 64
00:09:21.136022 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 5, length 64
00:09:21.561851 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 5, length 64
00:09:22.137652 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 6, length 64
00:09:22.562688 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 6, length 64
00:09:23.138495 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 7, length 64
00:09:23.563894 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 7, length 64
00:09:24.139706 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 8, length 64
00:09:24.564977 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 8, length 64
00:09:25.140783 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 9, length 64
00:09:25.565791 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 9, length 64
00:09:26.141601 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 10, length 64
00:09:26.566814 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 10, length 64
00:09:27.142630 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 11, length 64
00:09:27.568292 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 11, length 64
00:09:28.144100 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 12, length 64
00:09:28.569106 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 12, length 64
00:09:29.144914 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 13, length 64
00:09:29.570244 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 13, length 64
00:09:30.146058 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 14, length 64
00:09:30.572192 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 14, length 64
00:09:31.146998 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 15, length 64
00:09:31.571965 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 15, length 64
00:09:32.147776 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 16, length 64
00:09:32.573232 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 16, length 64
00:09:33.149048 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 17, length 64
00:09:33.574268 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 17, length 64
00:09:34.150076 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 18, length 64
00:09:34.574979 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 18, length 64
00:09:35.150793 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 19, length 64
00:09:35.575772 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 19, length 64
00:09:36.151581 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 20, length 64
00:09:36.578163 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 20, length 64
00:09:37.152974 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 21, length 64
00:09:37.578187 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 21, length 64
00:09:38.154002 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 22, length 64
00:09:38.579243 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 22, length 64
00:09:39.155051 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 23, length 64
00:09:39.580466 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 23, length 64
00:09:40.156273 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 24, length 64
00:09:40.581540 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 24, length 64
00:09:41.157359 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 25, length 64
00:09:41.582596 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 25, length 64
00:09:42.158404 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 26, length 64
00:09:42.583814 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 26, length 64
00:09:43.159630 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 27, length 64
00:09:43.585081 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 27, length 64
00:09:44.160550 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 28, length 64
00:09:44.585441 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 28, length 64
00:09:45.161169 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 29, length 64
00:09:45.586462 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 29, length 64
00:09:46.161804 IP 10.8.2.6 > 192.154.196.13: ICMP echo request, id 2195, seq 30, length 64
00:09:46.586770 IP 192.154.196.13 > 10.8.2.6: ICMP echo reply, id 2195, seq 30, length 64
