00:02:59.731243 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 2, length 64
00:03:00.026716 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 2, length 64
00:03:00.731680 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 3, length 64
00:03:01.027116 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 3, length 64
00:03:01.732087 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 4, length 64
00:03:02.028007 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 4, length 64
00:03:02.731966 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 5, length 64
00:03:03.027545 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 5, length 64
00:03:03.732489 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 6, length 64
00:03:04.028816 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 6, length 64
00:03:04.732752 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 7, length 64
00:03:05.028592 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 7, length 64
00:03:05.732566 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 8, length 64
00:03:06.028242 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 8, length 64
00:03:06.732605 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 9, length 64
00:03:07.028034 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 9, length 64
00:03:07.732983 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 10, length 64
00:03:08.028276 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 10, length 64
00:03:08.733222 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 11, length 64
00:03:09.029465 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 11, length 64
00:03:09.733407 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 12, length 64
00:03:10.028898 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 12, length 64
00:03:10.733844 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 13, length 64
00:03:11.029097 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 13, length 64
00:03:11.734034 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 14, length 64
00:03:12.030109 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 14, length 64
00:03:12.734044 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 15, length 64
00:03:13.030146 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 15, length 64
00:03:13.734087 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 16, length 64
00:03:14.029378 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 16, length 64
00:03:14.734323 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 17, length 64
00:03:15.029834 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 17, length 64
00:03:15.734777 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 18, length 64
00:03:16.030634 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 18, length 64
00:03:16.734571 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 19, length 64
00:03:17.031629 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 19, length 64
00:03:17.734568 IP 10.8.2.6 > 195.158.249.7: ICMP echo request, id 2169, seq 20, length 64
00:03:18.030227 IP 195.158.249.7 > 10.8.2.6: ICMP echo reply, id 2169, seq 20, length 64
