00:10:15.493981 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 2, length 64
00:10:15.958348 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 2, length 64
00:10:16.495157 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 3, length 64
00:10:16.961949 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 3, length 64
00:10:17.495727 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 4, length 64
00:10:17.955387 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 4, length 64
00:10:18.497160 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 5, length 64
00:10:18.961403 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 5, length 64
00:10:19.498170 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 6, length 64
00:10:19.962465 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 6, length 64
00:10:20.499233 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 7, length 64
00:10:20.961263 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 7, length 64
00:10:21.500030 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 8, length 64
00:10:21.958693 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 8, length 64
00:10:22.501466 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 9, length 64
00:10:22.963171 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 9, length 64
00:10:23.502949 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 10, length 64
00:10:23.967548 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 10, length 64
00:10:24.504308 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 11, length 64
00:10:24.968826 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 11, length 64
00:10:25.505589 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 12, length 64
00:10:25.966889 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 12, length 64
00:10:26.506655 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 13, length 64
00:10:26.968474 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 13, length 64
00:10:27.508247 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 14, length 64
00:10:28.539250 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 15, length 64
00:10:29.005555 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 15, length 64
00:10:29.539329 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 16, length 64
00:10:30.009007 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 16, length 64
00:10:30.539773 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 17, length 64
00:10:31.547241 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 18, length 64
00:10:32.012111 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 18, length 64
00:10:32.546876 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 19, length 64
00:10:33.010718 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 19, length 64
00:10:33.546486 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 20, length 64
00:10:34.006562 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 20, length 64
00:10:34.546331 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 21, length 64
00:10:35.007776 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 21, length 64
00:10:35.546554 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 22, length 64
00:10:36.571252 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 23, length 64
00:10:37.030652 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 23, length 64
00:10:37.571421 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 24, length 64
00:10:38.032695 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 24, length 64
00:10:38.571482 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 25, length 64
00:10:39.041095 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 25, length 64
00:10:39.571861 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 26, length 64
00:10:40.032188 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 26, length 64
00:10:40.571959 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 27, length 64
00:10:41.032784 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 27, length 64
00:10:41.572557 IP 10.8.2.6 > 122.155.174.64: ICMP echo request, id 2196, seq 28, length 64
00:10:42.030206 IP 122.155.174.64 > 10.8.2.6: ICMP echo reply, id 2196, seq 28, length 64
